verb,sentence
mentioned,tommy mentioned cinderella a spoon.
mentioned,jill mentioned jennifer the box.
mentioned,I mentioned a cat the gift.
mentioned,charlie mentioned a dog some cookies.
mentioned,nina mentioned daddy some flowers.
mentioned,emma mentioned grandma some food.
mentioned,he mentioned teddy it.
mentioned,they mentioned john some money.
mentioned,felix mentioned us a present.
mentioned,brian mentioned her an egg.
mentioned,the doctor mentioned me a box.
mentioned,she mentioned the cat the scissors.
mentioned,you mentioned them something.
mentioned,claire mentioned jack a book.
mentioned,emily mentioned jessica a toy.
mentioned,james mentioned the dog the ball.
mentioned,paul mentioned mommy a lot.
mentioned,ryan mentioned grandpa some milk.
mentioned,lucy mentioned you a ball.
returned,emily returned the dog a ball.
returned,nina returned grandpa the box.
returned,you returned grandma a spoon.
returned,they returned me some flowers.
returned,she returned mommy the book.
returned,james returned them it.
returned,felix returned john something.
returned,charlie returned teddy a book.
returned,lucy returned cinderella a lot.
returned,paul returned a cat some food.
returned,tommy returned jessica some money.
returned,he returned her an egg.
returned,jill returned a dog the scissors.
returned,I returned the cat the ball.
returned,the doctor returned us the gift.
returned,ryan returned jennifer a toy.
returned,claire returned him a present.
returned,emma returned you some cookies.
returned,santa returned daddy some milk.
returned,brian returned jack a box.
said,tommy said mommy a book.
said,I said him the gift.
said,you said him a ball.
said,nina said her an egg.
said,the doctor said john a toy.
said,emma said jessica a present.
said,brian said daddy a lot.
said,ryan said cinderella a spoon.
said,felix said grandpa some milk.
said,emily said jennifer some cookies.
said,she said them the scissors.
said,he said a cat some money.
said,charlie said teddy something.
said,paul said the dog a box.
said,santa said a dog the box.
said,claire said you some food.
said,james said grandma the book.
said,lucy said the cat some flowers.
said,they said jack the ball.
said,jill said us it.
snapped,emma snapped the dog something.
snapped,jill snapped teddy some milk.
snapped,emily snapped john a present.
snapped,ryan snapped jack the ball.
snapped,lucy snapped the cat it.
snapped,nina snapped grandma some money.
snapped,you snapped jennifer a box.
snapped,they snapped me the book.
snapped,paul snapped a dog some cookies.
snapped,charlie snapped daddy an egg.
snapped,claire snapped us the scissors.
snapped,santa snapped mommy a ball.
snapped,the doctor snapped grandpa a book.
snapped,brian snapped her some food.
snapped,I snapped cinderella some flowers.
snapped,tommy snapped them a toy.
snapped,she snapped a cat a spoon.
snapped,he snapped jessica a lot.
snapped,felix snapped him the gift.
snapped,james snapped you the box.
whisper,felix whisper the dog the gift.
whisper,you whisper mommy the box.
whisper,emily whisper me a box.
whisper,paul whisper you some money.
whisper,they whisper her some cookies.
whisper,ryan whisper teddy an egg.
whisper,brian whisper grandpa it.
whisper,emma whisper jack a present.
whisper,the doctor whisper a cat the scissors.
whisper,james whisper cinderella some food.
whisper,santa whisper daddy some milk.
whisper,claire whisper jessica some flowers.
whisper,jill whisper him a book.
whisper,I whisper grandma the book.
whisper,she whisper them a lot.
whisper,charlie whisper the cat a ball.
whisper,tommy whisper john a spoon.
whisper,nina whisper a dog a toy.
whisper,lucy whisper jennifer something.
whisper,he whisper us the ball.
