sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
look at all the ones i have i've got a big pile of ones that you gave me ?,give,gave,VBD,me,that,PRP,WDT
what are you telling me ?,tell,telling,VBG,me,what,PRP,WP
i was thinking of an idea of an animal that we have that you could bring in thomas ?,bring,bring,VB,thomas,that,NNP,WDT
you're okay you want some a these ?,want,want,VB,these,some,DT,DT
and what else can we feed you .,feed,feed,VB,you,what,PRP,WP
here let me give you a little more mm .,give,give,VB,mm,you,NN,PRP
what are those joseph can you tell me ?,tell,tell,VB,joseph,those,NNP,DT
oh give me a hug .,give,give,VB,hug,me,NN,PRP
give mommy a hug .,give,give,VB,hug,mommy,NN,NN
i saw those are very nice can you give joseph a hug and kiss i think he's sleepy sleep .,give,give,VB,hug,joseph,NN,NNP
you want more more more .,want,want,VBP,more,more,JJR,JJR
let me make you some soup .,make,make,VB,soup,you,NN,PRP
i'm gonna go make me a bowl of that soup ?,make,make,VB,bowl,me,NN,PRP
go get the baby and give the baby a kiss .,give,give,VB,kiss,baby,NN,NN
go get the baby and give the baby a kiss .,give,give,VB,kiss,baby,NN,NN
give your monkey a kiss .,give,give,VB,kiss,monkey,NN,NN
sings pattycake pattycake baker's man .,sing,sings,VBZ,man,pattycake,NN,NN
oh you gave your monkey a kiss .,give,gave,VBD,kiss,monkey,NN,NN
give your baby a kiss .,give,give,VB,kiss,baby,NN,NN
give the monkey some naynay .,give,give,VB,naynay,monkey,NNP,NN
give the baby a kiss .,give,give,VB,kiss,baby,NN,NN
better give me the blue one .,give,give,VB,one,me,NN,PRP
what does the owl say coo ?,say,say,VB,coo,what,NN,WP
give the monkey a kiss ?,give,give,VB,kiss,monkey,NN,NN
can i give your kitty cat a kiss ?,give,give,VB,kiss,cat,NN,NN
are you giving the kittie cat the block ?,give,giving,VBG,block,cat,NN,NN
you wanna give mommy the block ?,give,give,VB,block,mommy,NN,NN
give mommy the block .,give,give,VB,block,mommy,NN,PRP
i'm hungry give me a cookie .,give,give,VB,cookie,me,NN,PRP
give me a cheerio .,give,give,VB,cheerio,me,NN,PRP
they're washing the baby they're giving the baby a bath .,give,giving,VBG,baby,baby,NN,NN
you're gonna bring me the telephone ?,bring,bring,VB,telephone,me,NN,PRP
bring me the telephone .,bring,bring,VB,telephone,me,NN,PRP
bring me the telephone .,bring,bring,VB,telephone,me,NN,PRP
oh give me the .,give,give,VB,the,me,DT,PRP
show me your tongue .,show,show,VB,tongue,me,NN,PRP
i'm gonna give you some oatios now .,give,give,VB,oatios,you,NNS,PRP
can you give me the oatio ?,give,give,VB,oatio,me,NN,PRP
can you feed me the oatio ?,feed,feed,VB,oatio,me,NN,PRP
we're gonna stop this so i can give you some food .,give,give,VB,food,you,NN,PRP
stop giving me all your food .,give,giving,VBG,food,me,NN,PRP
you wanna ask me something about the microphone ?,ask,ask,VB,something,me,NN,PRP
you're giving me all the good stuff here .,give,giving,VBG,stuff,me,NN,PRP
mm give me that mm .,give,give,VB,mm,me,UH,PRP
oh you're giving me something ?,give,giving,VBG,something,me,NN,PRP
give daddy the ball .,give,give,VB,ball,daddy,NN,NN
here i'll give daddy that piece .,give,give,VB,piece,daddy,NN,NNP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
throw me the ball come on .,throw,throw,VB,ball,me,NN,PRP
give me a hug .,give,give,VB,hug,me,NN,PRP
let me show you him .,show,show,VB,him,you,PRP,PRP
give big bird a hug .,give,give,VB,hug,bird,NN,NNP
can you give big bird a hug ?,give,give,VB,hug,bird,NN,NNP
give big bird a hug !,give,give,VB,hug,bird,NN,NNP
child give mother the brush .,give,give,VBP,brush,mother,NN,NN
give me five .,give,give,VB,five,me,CD,PRP
give me five there we go .,give,give,VB,five,me,CD,PRP
give me five yay .,give,give,VB,yay,me,UH,PRP
hand me the orange one .,hand,hand,VB,one,me,NN,PRP
hand me the orange one .,hand,hand,VB,one,me,NN,PRP
ohbioh give the baby kisses .,give,give,VB,kisses,baby,NNS,NN
give the baby kisses .,give,give,VB,kisses,baby,NNS,NN
she is wishing you a happy birthday .,wish,wishing,VBG,birthday,you,NN,PRP
did grandma sing you happy birthday .,sing,sing,VB,birthday,you,NN,PRP
did grandma call and wish you happy birthday .,wish,wish,VB,birthday,you,NN,PRP
mother read you a book .,read,read,VBD,book,you,NN,PRP
she'll give you a kiss .,give,give,VB,kiss,you,NN,PRP
give the ball a big kiss .,give,give,VB,kiss,ball,NN,NN
because child will say tickle tickle tickle tickle .,say,say,VB,tickle,tickle,NN,NN
give it a little push .,give,give,VB,push,it,NN,PRP
remember he says patty cake patty cake .,say,says,VBZ,cake,cake,NN,NN
um hum gonna give me some loves .,give,give,VB,loves,me,NNS,PRP
can you give him kiss ?,give,give,VB,kiss,him,NN,PRP
wanna give him a hug .,give,give,VB,hug,him,NN,PRP
give him a hug .,give,give,VB,hug,him,NN,PRP
give him a hug .,give,give,VB,hug,him,NN,PRP
wanna give him a hug .,give,give,VB,hug,him,NN,PRP
who do you want big bird ?,want,want,VB,bird,who,NNP,WP
tell me more .,tell,tell,VB,more,me,JJR,PRP
tell me more .,tell,tell,VB,more,me,JJR,PRP
can you give big bird a love ?,give,give,VB,love,bird,NN,NN
can you give him another love ?,give,give,VB,love,him,NN,PRP
can you give big bird a pat ?,give,give,VB,pat,bird,NN,NN
can you give him a pat ?,give,give,VB,pat,him,NN,PRP
give him a pat .,give,give,VB,pat,him,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
give me give me five .,give,give,VB,five,me,CD,PRP
give me five .,give,give,VB,five,me,CD,PRP
tell me something .,tell,tell,VB,something,me,NN,PRP
tell me something .,tell,tell,VB,something,me,NN,PRP
tell me something .,tell,tell,VB,something,me,NN,PRP
tell me a story .,tell,tell,VB,story,me,NN,PRP
can you tell mother a story ?,tell,tell,VB,story,mother,NN,NN
give me a kiss .,give,give,VB,kiss,me,NN,PRP
give the baby a hug .,give,give,VB,hug,baby,NN,NN
you give the baby a hug .,give,give,VBP,hug,baby,NN,NN
can i give the baby a hug .,give,give,VB,hug,baby,NN,NN
give the baby a kiss .,give,give,VB,kiss,baby,NN,NN
what are you telling big bird ?,tell,telling,VBG,bird,what,NNP,WP
tell me something .,tell,tell,VB,something,me,NN,PRP
think santa would bring you a book for christmas ?,bring,bring,VB,book,you,NN,PRP
can you give mother the ball ?,give,give,VB,ball,mother,NN,NN
oh you give big bird a hug .,give,give,VBP,hug,bird,NN,NNP
what's does a kittie say ?,say,say,VB,'s,what,VBZ,WP
what's does a kittie say ?,say,say,VB,'s,what,VBZ,WP
you gonna give big bird a hug .,give,give,VB,hug,bird,NN,NNP
can you give big bird a hug ?,give,give,VB,hug,bird,NN,NNP
whats a kittie cat say ?,say,say,VB,s,what,VBZ,WP
oh sweet you gave me kiss on the hand .,give,gave,VBD,kiss,me,NN,PRP
should we give you a cheerio ?,give,give,VB,cheerio,you,NN,PRP
give mommy a kiss .,give,give,VB,kiss,mommy,NN,NN
give mommy a kiss .,give,give,VB,kiss,mommy,NN,NN
you give the hippo a hug .,give,give,VBP,hug,hippo,NN,NN
wanna give mommy a kiss ?,give,give,VB,kiss,mommy,NN,NN
you wanna give mommy a kiss ?,give,give,VB,kiss,mommy,NN,NN
give mommy a kiss .,give,give,VB,kiss,mommy,NN,NN
you're giving me the car ?,give,giving,VBG,car,me,NN,PRP
bring me that and i'll put this in there .,bring,bring,VB,that,me,DT,PRP
bring me that tray .,bring,bring,VB,tray,me,NN,PRP
feeding me some food ?,feed,feeding,VBG,food,me,NN,PRP
i'll feed you that .,feed,feed,VB,that,you,DT,PRP
you're giving me a hug ?,give,giving,VBG,hug,me,NN,PRP
i'll give you some more bean .,give,give,VB,bean,you,NN,PRP
i'm gonna give you some rice now okay ?,give,give,VB,rice,you,NN,PRP
i'm gonna start giving you toast now that you eat wheat .,give,giving,VBG,toast,you,NN,PRP
you can give yourself the .,give,give,VB,the,yourself,DT,PRP
yes i'll give you that in a minute .,give,give,VB,that,you,DT,PRP
and then i'm gonna give you a washcloth you can chew on .,give,give,VB,washcloth,you,NN,PRP
i said i'd give you a washcloth didn't i ?,give,give,VB,washcloth,you,NN,PRP
rustles and bustles and squishes and zings what wonderful noises a thunderstorm brings .,bring,brings,VBZ,noises,rustles,NNS,VBZ
here i'll give you some more .,give,give,VB,more,you,JJR,PRP
you wanna give the dog the ball ?,give,give,VB,ball,dog,NN,NN
give your hippo the ball .,give,give,VB,ball,hippo,NN,NN
throw the hippo the ball .,throw,throw,VB,ball,hippo,NN,NN
throw the hippo the ball !,throw,throw,VB,ball,hippo,NN,NN
ready throw the hippo the ball .,throw,throw,VB,ball,hippo,NN,NN
he's giving the train a bath .,give,giving,VBG,bath,train,NN,NN
are you giving the hippo a hug ?,give,giving,VBG,hug,hippo,NN,NN
give him a kiss .,give,give,VB,kiss,him,NN,PRP
can i give the hippo a hug ?,give,give,VB,hug,hippo,NN,NN
throw mommy the ball .,throw,throw,VB,ball,mommy,NN,NN
throw mommy the ball yay !,throw,throw,VB,ball,mommy,NN,NN
are you giving the bear a kiss ?,give,giving,VBG,kiss,bear,NN,NN
push him in ah good job !,push,push,VB,job,him,NN,PRP
give mommy the screwdriver !,give,give,VB,screwdriver,mommy,NN,NN
show me your tricycle .,show,show,VB,tricycle,me,NN,PRP
can you give me a lego please ?,give,give,VB,lego,me,NN,PRP
show me the girl .,show,show,VB,girl,me,NN,PRP
show me your foot .,show,show,VB,foot,me,NN,PRP
i'm gonna give you some of this now .,give,give,VB,some,you,DT,PRP
oh you're giving me the yogurt .,give,giving,VBG,yogurt,me,NN,PRP
i'm giving you the wheat .,give,giving,VBG,wheat,you,NN,PRP
you ate it what're you giving me you've already eaten it .,give,giving,VBG,me,what,PRP,WP
you wanna give me a piece give me give me a piece ?,give,give,VB,piece,me,NN,PRP
the whole bowl i don't wanna give you the whole bowl .,give,give,VB,bowl,you,NN,PRP
i'm gonna give you some right now there's some rice .,give,give,VB,some,you,DT,PRP
can you give me the bowl ?,give,give,VB,bowl,me,NN,PRP
you can't be that hungry if you're giving me food .,give,giving,VBG,food,me,NN,PRP
here give me your foot .,give,give,VB,foot,me,NN,PRP
uyeh you give him the cookie .,give,give,VBP,cookie,him,NN,PRP
what were you telling us about joseph ?,tell,telling,VBG,us,what,PRP,WP
should we give him a body ?,give,give,VB,body,him,NN,PRP
what were you telling me ?,tell,telling,VBG,me,what,PRP,WP
yeah come over and give him a big kiss .,give,give,VB,kiss,him,NN,PRP
i'll go find you some food .,find,find,VB,food,you,NN,PRP
give him a kiss okay come on .,give,give,VB,kiss,him,NN,PRP
let me show you something .,show,show,VB,something,you,NN,PRP
oh give alice a kiss .,give,give,VB,kiss,alice,NN,NNP
you wanna give him a hug ?,give,give,VB,hug,him,NN,PRP
give eeyore a hug .,give,give,VB,hug,eeyore,NN,NNP
give eeyore a raisin ?,give,give,VB,raisin,eeyore,NN,NNP
okay you wanna give him a cheerio ?,give,give,VB,cheerio,him,NN,PRP
wanna give eeyore a cheerio ?,give,give,VB,cheerio,eeyore,NN,NNP
oh can i give you a hug ?,give,give,VB,hug,you,NN,PRP
can i give you a hug ?,give,give,VB,hug,you,NN,PRP
you wanna throw mommy the ball ?,throw,throw,VB,ball,mommy,NN,NN
naima where are the legos can you give me a lego ?,give,give,VB,lego,me,NN,PRP
can you give me a lego ?,give,give,VB,lego,me,NN,PRP
give mommy a lego .,give,give,VB,lego,mommy,NN,NN
bring me the bug .,bring,bring,VB,bug,me,NN,PRP
give me some paper ?,give,give,VB,paper,me,NN,PRP
give me some paper .,give,give,VB,paper,me,NN,PRP
give me some paper .,give,give,VB,paper,me,NN,PRP
give you some if you come here yogurt ?,give,give,VB,some,you,DT,PRP
sit back a little bit straighter so i can give you this .,give,give,VB,this,you,DT,PRP
wanna stand over there and i'll throw you the ball ?,throw,throw,VB,ball,you,NN,PRP
i'm gonna show you something new .,show,show,VB,something,you,NN,PRP
can you give me the ball ?,give,give,VB,ball,me,NN,PRP
maisy gives the geese a drink .,give,gives,VBZ,drink,geese,NN,NNS
can you show me daisy's tail honey ?,show,show,VB,honey,me,NN,PRP
are you giving me the towel ?,give,giving,VBG,towel,me,NN,PRP
can you bring me the book ?,bring,bring,VB,book,me,NN,PRP
what're you telling me ?,tell,telling,VBG,me,what,PRP,WP
hat you giving me a hat ?,give,giving,VBG,hat,me,NN,PRP
give me the book .,give,give,VB,book,me,NN,PRP
you're giving me a kiss aw .,give,giving,VBG,kiss,me,NN,PRP
someone been teaching you math in secret ?,teach,teaching,VBG,math,you,NN,PRP
i can give you more water .,give,give,VB,water,you,NN,PRP
can i give you two of them ?,give,give,VB,two,you,CD,PRP
give me the kleenex .,give,give,VB,kleenex,me,NN,PRP
can you throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
can you give him a kiss ?,give,give,VB,kiss,him,NN,PRP
do you think you could bring the camera up here for a little bit and just plug it in and i won't ask you any other favors ?,ask,ask,VB,favors,you,NNS,PRP
i don't mind if you ask me favors .,ask,ask,VBP,favors,me,NNS,PRP
we'll find you some clothes .,find,find,VB,clothes,you,NNS,PRP
is the duck gonna give the clown a kiss .,give,give,VB,kiss,clown,NN,NN
can you throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
i'm gonna throw you the ball .,throw,throw,VB,ball,you,NN,PRP
can you throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
here give mommy bahbah .,give,give,VB,bahbah,mommy,NN,NN
give me this !,give,give,VB,this,me,DT,PRP
can i show her something else .,show,show,VB,something,her,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
oh you wanna give the baby a bottle .,give,give,VB,bottle,baby,NN,NN
you gonna give that baby the bottle too .,give,give,VB,bottle,baby,NN,NN
you may give them a kiss ?,give,give,VB,kiss,them,NN,PRP
gave the baby a kiss ?,give,gave,VBN,kiss,baby,NN,NN
and gives that little guy's belly a kiss right in the middle of his belly button tickle tickle ?,give,gives,VBZ,kiss,belly,NN,NN
she gives that little baby a kiss right on each of her little eyes .,give,gives,VBZ,kiss,baby,NN,NN
are you giving the baby your pacifier .,give,giving,VBG,pacifier,baby,NN,NN
and gives little guy a kiss right in the belly button .,give,gives,VBZ,kiss,guy,NN,NN
hm says more more more .,say,says,VBZ,more,more,JJR,JJR
and gives that little guys' belly a kiss .,give,gives,VBZ,kiss,belly,NN,NN
he says more more more !,say,says,VBZ,more,more,JJR,JJR
he told you that .,tell,told,VBD,that,you,DT,PRP
let me tell you something about that bottle .,tell,tell,VB,something,you,NN,PRP
throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
throw mom the ball .,throw,throw,VB,ball,mom,NN,NN
will you show mommy the bunny rabbit .,show,show,VB,rabbit,mommy,NN,NN
wanna read me the book .,read,read,VBD,book,me,NN,PRP
give me the ball .,give,give,VB,ball,me,NN,PRP
little piggy toes give me that ball .,give,give,VBP,ball,me,NN,PRP
wanna give me the ball ?,give,give,VB,ball,me,NN,PRP
give me the ball ?,give,give,VB,ball,me,NN,PRP
give mommy the ball ?,give,give,VB,ball,mommy,NN,NN
hm you giving bunny a little hug .,give,giving,VBG,hug,bunny,NN,NNP
my parents were right there and my mother gave me a great big package .,give,gave,VBD,package,me,NN,PRP
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
can you say hoo hoo ?,say,say,VB,hoo,hoo,NN,UH
give mommy the crayon .,give,give,VB,crayon,mommy,NN,NN
give me that .,give,give,VB,that,me,DT,PRP
give mommy the paper please .,give,give,VB,paper,mommy,NN,NN
what are the what's the doggie say ?,say,say,VB,the,are,DT,VBP
let me show you this !,show,show,VB,this,you,DT,PRP
and i'll roll you the ball .,roll,roll,VB,ball,you,NN,PRP
give mommy the ball .,give,give,VB,ball,mommy,NN,NN
throw me the ball .,throw,throw,VB,ball,me,NN,PRP
give mommy the ball .,give,give,VB,ball,mommy,NN,NN
mama read you a story .,read,read,VBD,story,you,NN,PRP
let mommy read you a story .,read,read,VB,story,you,NN,PRP
can you throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
here give mom the crayons .,give,give,VB,crayons,mom,NNS,NN
mommy's gonna show you something !,show,show,VB,something,you,NN,PRP
give me that ball !,give,give,VB,ball,me,NN,PRP
look i'll throw you the ball !,throw,throw,VB,ball,you,NN,PRP
throw mama the ball !,throw,throw,VB,ball,mama,NN,NN
give mommy the papers ?,give,give,VB,papers,mommy,NNS,NN
give mommy the papers .,give,give,VB,papers,mommy,NNS,NN
can you give mama the papers ?,give,give,VB,papers,mama,NNS,NN
mommy showered but you should bring me my coffee .,bring,bring,VB,coffee,me,NN,PRP
poo oh the shampoo you wanna bring me the shampoo !,bring,bring,VB,shampoo,me,NN,PRP
i'm giving you the picture of the flowers .,give,giving,VBG,picture,you,NN,PRP
where's the wheel can you bring me the wheel and i can make it go again ?,bring,bring,VB,wheel,me,NN,PRP
can you bring me the wheel please ?,bring,bring,VB,wheel,me,NN,PRP
oh wanna throw me the football ?,throw,throw,VB,football,me,NN,PRP
come on give me the ball .,give,give,VB,ball,me,NN,PRP
wanna show you something else .,show,show,VB,something,you,NN,PRP
can you show mama the pictures ?,show,show,VB,pictures,mama,NNS,NN
wanna throw mommy the ball ?,throw,throw,VB,ball,mommy,NN,NN
throw me the ball !,throw,throw,VB,ball,me,NN,PRP
give me the ball ?,give,give,VB,ball,me,NN,PRP
jamie give me the ball !,give,give,VB,ball,me,NN,PRP
give me the ball ?,give,give,VB,ball,me,NN,PRP
give the duckie a kiss .,give,give,VB,kiss,duckie,NN,NN
give me this .,give,give,VB,this,me,DT,PRP
you give him kiss .,give,give,VBP,kiss,him,NN,PRP
i'll leave you one toy .,leave,leave,VB,toy,you,NN,PRP
bring mommy the crayon .,bring,bring,VB,crayon,mommy,NN,NN
bring mommy the blue crayon .,bring,bring,VB,crayon,mommy,NN,NN
mommy will read you the book .,read,read,VB,book,you,NN,PRP
should i give him a little milk ?,give,give,VB,milk,him,NN,PRP
show ema the doggie ?,show,show,VB,doggie,ema,NN,PRP
give me the ball .,give,give,VB,ball,me,NN,PRP
give me the ball !,give,give,VB,ball,me,NN,PRP
give mama the ball !,give,give,VB,ball,mama,NN,NN
why don't you bring me the book !,bring,bring,VB,book,me,NN,PRP
what's does a doggie say ?,say,say,VB,'s,what,VBZ,WP
wanna give floppy a kiss .,give,give,VB,kiss,floppy,NN,NNP
as soon as she gets home she gives it a try !,give,gives,VBZ,try,it,NN,PRP
when they're finished reading olivia's mother gives her a kiss and says you know you really wear me out but i love you anyway ?,give,gives,VBZ,kiss,her,NN,PRP
and olivia gives her a kiss back and says i love you anyway too ?,give,gives,VBZ,kiss,her,NN,PRP
bluebird what makes a rainbow asked little rabbit ?,make,makes,VBZ,rabbit,rainbow,NN,NN
the nice airplane lady came right away and gave me a bath on the airplane .,give,gave,VBD,bath,me,NN,PRP
wanna give the doggie a kiss .,give,give,VB,kiss,doggie,NN,NN
can you find me the picture of lisa's and her orange juice ?,find,find,VB,picture,me,NN,PRP
i'll give you the sticker okay you want the sticker again .,give,give,VB,sticker,you,NN,PRP
here i'll give you a piece ?,give,give,VB,piece,you,NN,PRP
the question is who should we give them too .,give,give,VB,them,who,PRP,WP
okay which one you wanna give them the white frame or the brown frame .,give,give,VB,frame,them,NN,PRP
we'll give them the white frame .,give,give,VB,frame,them,NN,PRP
you're giving the box a seat !,give,giving,VBG,seat,box,NN,NN
can you throw me the ball ?,throw,throw,VB,ball,me,NN,PRP
okay you throw me the ball .,throw,throw,VBP,ball,me,NN,PRP
throw mom the ball ?,throw,throw,VB,ball,mom,NN,NN
throw mom the ball .,throw,throw,VB,ball,mom,NN,NN
wanna bring me the ball ?,bring,bring,VB,ball,me,NN,PRP
i'll show you the book .,show,show,VB,book,you,NN,PRP
give mama the ball !,give,give,VB,ball,mama,NN,NN
can you give mommy the ball ?,give,give,VB,ball,mommy,NN,NN
i'll show you more book ?,show,show,VB,book,you,NN,PRP
what if i give you something ?,give,give,VBP,something,you,NN,PRP
we'll give you your own sheet .,give,give,VB,sheet,you,NN,PRP
should we give the dog a tongue ?,give,give,VB,tongue,dog,NN,NN
give him some hugs ?,give,give,VB,hugs,him,NNS,PRP
give me a big hug .,give,give,VB,hug,me,NN,PRP
give me a big hug .,give,give,VB,hug,me,NN,PRP
