verb,sentence
slipped,santa slipped grandma the gift.
slipped,paul slipped the cat the box.
slipped,he slipped teddy something.
slipped,jill slipped him some cookies.
slipped,james slipped john a spoon.
slipped,I slipped you a box.
towed,the doctor towed her the scissors.
towed,they towed him a box.
towed,brian towed us some milk.
towed,tommy towed daddy a spoon.
towed,claire towed jack some cookies.
towed,I towed teddy a toy.
towed,he towed mommy the gift.
towed,charlie towed cinderella something.
towed,ryan towed jessica some flowers.
towed,you towed grandma some food.
towed,jill towed a cat an egg.
towed,nina towed you a lot.
towed,she towed me a book.
towed,emma towed the dog a present.
towed,paul towed john the book.
towed,james towed them it.
towed,felix towed a dog some money.
towed,lucy towed the cat the box.
towed,santa towed jennifer a ball.
towed,emily towed grandpa the ball.
