item_id,verb_id,verb_type,verb,do,pp
173,3,nana-do,wished,mommy wished them success .,mommy wished success to them .
174,3,nana-do,wished,ryan wished us success .,ryan wished success to us .
175,3,nana-do,wished,she wished mommy success .,she wished success to mommy .
176,3,nana-do,wished,you wished the bear success .,you wished success to the bear .
177,3,nana-do,wished,daddy wished the girl success .,daddy wished success to the girl .
178,3,nana-do,wished,nina wished the man success .,nina wished success to the man .
179,3,nana-do,wished,daddy wished my uncle success .,daddy wished success to my uncle .
180,3,nana-do,wished,she wished a stranger success .,she wished success to a stranger .
181,3,nana-do,wished,lily wished him health .,lily wished health to him .
182,3,nana-do,wished,ryan wished her health .,ryan wished health to her .
183,3,nana-do,wished,nina wished them health .,nina wished health to them .
184,3,nana-do,wished,adam wished us health .,adam wished health to us .
185,3,nana-do,wished,ethan wished mommy health .,ethan wished health to mommy .
186,3,nana-do,wished,david wished the bear health .,david wished health to the bear .
187,3,nana-do,wished,grandma wished the girl health .,grandma wished health to the girl .
188,3,nana-do,wished,mommy wished the man health .,mommy wished health to the man .
189,3,nana-do,wished,mommy wished my uncle health .,mommy wished health to my uncle .
190,3,nana-do,wished,nina wished a stranger health .,nina wished health to a stranger .
191,3,nana-do,wished,you wished him a good weekend .,you wished a good weekend to him .
192,3,nana-do,wished,daddy wished her a good weekend .,daddy wished a good weekend to her .
193,3,nana-do,wished,ethan wished them a good weekend .,ethan wished a good weekend to them .
194,3,nana-do,wished,you wished us a good weekend .,you wished a good weekend to us .
195,3,nana-do,wished,ryan wished mommy a good weekend .,ryan wished a good weekend to mommy .
196,3,nana-do,wished,laura wished the bear a good weekend .,laura wished a good weekend to the bear .
197,3,nana-do,wished,she wished the girl a good weekend .,she wished a good weekend to the girl .
198,3,nana-do,wished,nina wished the man a good weekend .,nina wished a good weekend to the man .
199,3,nana-do,wished,laura wished my uncle a good weekend .,laura wished a good weekend to my uncle .
200,3,nana-do,wished,she wished a stranger a good weekend .,she wished a good weekend to a stranger .
201,3,nana-do,wished,you wished him a happy new year .,you wished a happy new year to him .
202,3,nana-do,wished,the boy wished her a happy new year .,the boy wished a happy new year to her .
203,3,nana-do,wished,john wished them a happy new year .,john wished a happy new year to them .
204,3,nana-do,wished,ethan wished us a happy new year .,ethan wished a happy new year to us .
205,3,nana-do,wished,lily wished mommy a happy new year .,lily wished a happy new year to mommy .
206,3,nana-do,wished,daddy wished the bear a happy new year .,daddy wished a happy new year to the bear .
207,3,nana-do,wished,ethan wished the girl a happy new year .,ethan wished a happy new year to the girl .
208,3,nana-do,wished,you wished the man a happy new year .,you wished a happy new year to the man .
209,3,nana-do,wished,daddy wished my uncle a happy new year .,daddy wished a happy new year to my uncle .
210,3,nana-do,wished,you wished a stranger a happy new year .,you wished a happy new year to a stranger .
211,4,naba-pp,batted,grandma batted him my ball .,grandma batted my ball to him .
212,4,naba-pp,batted,he batted her my ball .,he batted my ball to her .
213,4,naba-pp,batted,laura batted them my ball .,laura batted my ball to them .
214,4,naba-pp,batted,grandma batted us my ball .,grandma batted my ball to us .
215,4,naba-pp,batted,ryan batted mommy my ball .,ryan batted my ball to mommy .
216,4,naba-pp,batted,she batted the bear my ball .,she batted my ball to the bear .
217,4,naba-pp,batted,the boy batted the girl my ball .,the boy batted my ball to the girl .
218,4,naba-pp,batted,david batted the man my ball .,david batted my ball to the man .
219,4,naba-pp,batted,ryan batted my uncle my ball .,ryan batted my ball to my uncle .
220,4,naba-pp,batted,david batted a stranger my ball .,david batted my ball to a stranger .
221,4,naba-pp,batted,ethan batted him the baseball .,ethan batted the baseball to him .
222,4,naba-pp,batted,ethan batted her the baseball .,ethan batted the baseball to her .
223,4,naba-pp,batted,laura batted them the baseball .,laura batted the baseball to them .
224,4,naba-pp,batted,ethan batted us the baseball .,ethan batted the baseball to us .
225,4,naba-pp,batted,i batted mommy the baseball .,i batted the baseball to mommy .
226,4,naba-pp,batted,nina batted the bear the baseball .,nina batted the baseball to the bear .
227,4,naba-pp,batted,nina batted the girl the baseball .,nina batted the baseball to the girl .
228,4,naba-pp,batted,laura batted the man the baseball .,laura batted the baseball to the man .
229,4,naba-pp,batted,lily batted my uncle the baseball .,lily batted the baseball to my uncle .
230,4,naba-pp,batted,you batted a stranger the baseball .,you batted the baseball to a stranger .
231,4,naba-pp,batted,mommy batted him an egg .,mommy batted an egg to him .
232,4,naba-pp,batted,adam batted her an egg .,adam batted an egg to her .
233,4,naba-pp,batted,adam batted them an egg .,adam batted an egg to them .
234,4,naba-pp,batted,the boy batted us an egg .,the boy batted an egg to us .
235,4,naba-pp,batted,adam batted mommy an egg .,adam batted an egg to mommy .
236,4,naba-pp,batted,she batted the bear an egg .,she batted an egg to the bear .
237,4,naba-pp,batted,daddy batted the girl an egg .,daddy batted an egg to the girl .
238,4,naba-pp,batted,daddy batted the man an egg .,daddy batted an egg to the man .
239,4,naba-pp,batted,john batted my uncle an egg .,john batted an egg to my uncle .
240,4,naba-pp,batted,david batted a stranger an egg .,david batted an egg to a stranger .
241,4,naba-pp,batted,david batted him a round toy .,david batted a round toy to him .
242,4,naba-pp,batted,ethan batted her a round toy .,ethan batted a round toy to her .
243,4,naba-pp,batted,he batted them a round toy .,he batted a round toy to them .
244,4,naba-pp,batted,grandma batted us a round toy .,grandma batted a round toy to us .
245,4,naba-pp,batted,the boy batted mommy a round toy .,the boy batted a round toy to mommy .
246,4,naba-pp,batted,david batted the bear a round toy .,david batted a round toy to the bear .
247,4,naba-pp,batted,david batted the girl a round toy .,david batted a round toy to the girl .
248,4,naba-pp,batted,grandma batted the man a round toy .,grandma batted a round toy to the man .
249,4,naba-pp,batted,ethan batted my uncle a round toy .,ethan batted a round toy to my uncle .
250,4,naba-pp,batted,ryan batted a stranger a round toy .,ryan batted a round toy to a stranger .
251,4,naba-pp,batted,david batted him my large eraser .,david batted my large eraser to him .
252,4,naba-pp,batted,ethan batted her my large eraser .,ethan batted my large eraser to her .
253,4,naba-pp,batted,ryan batted them my large eraser .,ryan batted my large eraser to them .
254,4,naba-pp,batted,he batted us my large eraser .,he batted my large eraser to us .
255,4,naba-pp,batted,ryan batted mommy my large eraser .,ryan batted my large eraser to mommy .
256,4,naba-pp,batted,david batted the bear my large eraser .,david batted my large eraser to the bear .
257,4,naba-pp,batted,you batted the girl my large eraser .,you batted my large eraser to the girl .
258,4,naba-pp,batted,laura batted the man my large eraser .,laura batted my large eraser to the man .
259,4,naba-pp,batted,adam batted my uncle my large eraser .,adam batted my large eraser to my uncle .
260,4,naba-pp,batted,nina batted a stranger my large eraser .,nina batted my large eraser to a stranger .
261,4,naba-pp,batted,laura batted him that .,laura batted that to him .
262,4,naba-pp,batted,david batted her that .,david batted that to her .
263,4,naba-pp,batted,laura batted them that .,laura batted that to them .
264,4,naba-pp,batted,mommy batted us that .,mommy batted that to us .
265,4,naba-pp,batted,john batted mommy that .,john batted that to mommy .
266,4,naba-pp,batted,john batted the bear that .,john batted that to the bear .
267,4,naba-pp,batted,john batted the girl that .,john batted that to the girl .
268,4,naba-pp,batted,mommy batted the man that .,mommy batted that to the man .
269,4,naba-pp,batted,she batted my uncle that .,she batted that to my uncle .
270,4,naba-pp,batted,mommy batted a stranger that .,mommy batted that to a stranger .
271,4,naba-pp,batted,mommy batted him something .,mommy batted something to him .
272,4,naba-pp,batted,daddy batted her something .,daddy batted something to her .
273,4,naba-pp,batted,ryan batted them something .,ryan batted something to them .
274,4,naba-pp,batted,john batted us something .,john batted something to us .
275,4,naba-pp,batted,grandma batted mommy something .,grandma batted something to mommy .
276,4,naba-pp,batted,i batted the bear something .,i batted something to the bear .
277,4,naba-pp,batted,he batted the girl something .,he batted something to the girl .
278,4,naba-pp,batted,john batted the man something .,john batted something to the man .
279,4,naba-pp,batted,david batted my uncle something .,david batted something to my uncle .
280,4,naba-pp,batted,adam batted a stranger something .,adam batted something to a stranger .
281,5,naba-pp,bounced,john bounced him the spring .,john bounced the spring to him .
282,5,naba-pp,bounced,you bounced her the spring .,you bounced the spring to her .
283,5,naba-pp,bounced,david bounced them the spring .,david bounced the spring to them .
284,5,naba-pp,bounced,ethan bounced us the spring .,ethan bounced the spring to us .
285,5,naba-pp,bounced,adam bounced mommy the spring .,adam bounced the spring to mommy .
286,5,naba-pp,bounced,ethan bounced the bear the spring .,ethan bounced the spring to the bear .
287,5,naba-pp,bounced,nina bounced the girl the spring .,nina bounced the spring to the girl .
288,5,naba-pp,bounced,david bounced the man the spring .,david bounced the spring to the man .
289,5,naba-pp,bounced,john bounced my uncle the spring .,john bounced the spring to my uncle .
290,5,naba-pp,bounced,laura bounced a stranger the spring .,laura bounced the spring to a stranger .
291,5,naba-pp,bounced,ryan bounced him the rubber duckies .,ryan bounced the rubber duckies to him .
292,5,naba-pp,bounced,david bounced her the rubber duckies .,david bounced the rubber duckies to her .
293,5,naba-pp,bounced,daddy bounced them the rubber duckies .,daddy bounced the rubber duckies to them .
294,5,naba-pp,bounced,laura bounced us the rubber duckies .,laura bounced the rubber duckies to us .
295,5,naba-pp,bounced,you bounced mommy the rubber duckies .,you bounced the rubber duckies to mommy .
296,5,naba-pp,bounced,ryan bounced the bear the rubber duckies .,ryan bounced the rubber duckies to the bear .
297,5,naba-pp,bounced,grandma bounced the girl the rubber duckies .,grandma bounced the rubber duckies to the girl .
298,5,naba-pp,bounced,she bounced the man the rubber duckies .,she bounced the rubber duckies to the man .
299,5,naba-pp,bounced,you bounced my uncle the rubber duckies .,you bounced the rubber duckies to my uncle .
300,5,naba-pp,bounced,laura bounced a stranger the rubber duckies .,laura bounced the rubber duckies to a stranger .
301,5,naba-pp,bounced,grandma bounced him the slinky .,grandma bounced the slinky to him .
302,5,naba-pp,bounced,ryan bounced her the slinky .,ryan bounced the slinky to her .
303,5,naba-pp,bounced,daddy bounced them the slinky .,daddy bounced the slinky to them .
304,5,naba-pp,bounced,laura bounced us the slinky .,laura bounced the slinky to us .
305,5,naba-pp,bounced,john bounced mommy the slinky .,john bounced the slinky to mommy .
306,5,naba-pp,bounced,ethan bounced the bear the slinky .,ethan bounced the slinky to the bear .
307,5,naba-pp,bounced,adam bounced the girl the slinky .,adam bounced the slinky to the girl .
308,5,naba-pp,bounced,david bounced the man the slinky .,david bounced the slinky to the man .
309,5,naba-pp,bounced,david bounced my uncle the slinky .,david bounced the slinky to my uncle .
310,5,naba-pp,bounced,john bounced a stranger the slinky .,john bounced the slinky to a stranger .
311,5,naba-pp,bounced,laura bounced him a round toy .,laura bounced a round toy to him .
312,5,naba-pp,bounced,adam bounced her a round toy .,adam bounced a round toy to her .
313,5,naba-pp,bounced,grandma bounced them a round toy .,grandma bounced a round toy to them .
314,5,naba-pp,bounced,ethan bounced us a round toy .,ethan bounced a round toy to us .
315,5,naba-pp,bounced,adam bounced mommy a round toy .,adam bounced a round toy to mommy .
316,5,naba-pp,bounced,grandma bounced the bear a round toy .,grandma bounced a round toy to the bear .
317,5,naba-pp,bounced,adam bounced the girl a round toy .,adam bounced a round toy to the girl .
318,5,naba-pp,bounced,nina bounced the man a round toy .,nina bounced a round toy to the man .
319,5,naba-pp,bounced,daddy bounced my uncle a round toy .,daddy bounced a round toy to my uncle .
320,5,naba-pp,bounced,daddy bounced a stranger a round toy .,daddy bounced a round toy to a stranger .
321,5,naba-pp,bounced,david bounced him my large eraser .,david bounced my large eraser to him .
322,5,naba-pp,bounced,nina bounced her my large eraser .,nina bounced my large eraser to her .
323,5,naba-pp,bounced,adam bounced them my large eraser .,adam bounced my large eraser to them .
324,5,naba-pp,bounced,mommy bounced us my large eraser .,mommy bounced my large eraser to us .
325,5,naba-pp,bounced,daddy bounced mommy my large eraser .,daddy bounced my large eraser to mommy .
326,5,naba-pp,bounced,daddy bounced the bear my large eraser .,daddy bounced my large eraser to the bear .
327,5,naba-pp,bounced,you bounced the girl my large eraser .,you bounced my large eraser to the girl .
328,5,naba-pp,bounced,she bounced the man my large eraser .,she bounced my large eraser to the man .
329,5,naba-pp,bounced,mommy bounced my uncle my large eraser .,mommy bounced my large eraser to my uncle .
330,5,naba-pp,bounced,david bounced a stranger my large eraser .,david bounced my large eraser to a stranger .
331,5,naba-pp,bounced,ethan bounced him that .,ethan bounced that to him .
332,5,naba-pp,bounced,john bounced her that .,john bounced that to her .
333,5,naba-pp,bounced,nina bounced them that .,nina bounced that to them .
334,5,naba-pp,bounced,john bounced us that .,john bounced that to us .
335,5,naba-pp,bounced,grandma bounced mommy that .,grandma bounced that to mommy .
336,5,naba-pp,bounced,the boy bounced the bear that .,the boy bounced that to the bear .
337,5,naba-pp,bounced,mommy bounced the girl that .,mommy bounced that to the girl .
338,5,naba-pp,bounced,you bounced the man that .,you bounced that to the man .
339,5,naba-pp,bounced,grandma bounced my uncle that .,grandma bounced that to my uncle .
340,5,naba-pp,bounced,mommy bounced a stranger that .,mommy bounced that to a stranger .
341,5,naba-pp,bounced,lily bounced him something .,lily bounced something to him .
342,5,naba-pp,bounced,grandma bounced her something .,grandma bounced something to her .
343,5,naba-pp,bounced,grandma bounced them something .,grandma bounced something to them .
344,5,naba-pp,bounced,the boy bounced us something .,the boy bounced something to us .
345,5,naba-pp,bounced,david bounced mommy something .,david bounced something to mommy .
346,5,naba-pp,bounced,you bounced the bear something .,you bounced something to the bear .
347,5,naba-pp,bounced,laura bounced the girl something .,laura bounced something to the girl .
348,5,naba-pp,bounced,you bounced the man something .,you bounced something to the man .
349,5,naba-pp,bounced,ethan bounced my uncle something .,ethan bounced something to my uncle .
350,5,naba-pp,bounced,grandma bounced a stranger something .,grandma bounced something to a stranger .
351,6,naba-pp,delivered,the boy delivered him some boxes .,the boy delivered some boxes to him .
352,6,naba-pp,delivered,ryan delivered her some boxes .,ryan delivered some boxes to her .
353,6,naba-pp,delivered,laura delivered them some boxes .,laura delivered some boxes to them .
354,6,naba-pp,delivered,ethan delivered us some boxes .,ethan delivered some boxes to us .
355,6,naba-pp,delivered,ryan delivered mommy some boxes .,ryan delivered some boxes to mommy .
356,6,naba-pp,delivered,she delivered the bear some boxes .,she delivered some boxes to the bear .
357,6,naba-pp,delivered,ryan delivered the girl some boxes .,ryan delivered some boxes to the girl .
358,6,naba-pp,delivered,i delivered the man some boxes .,i delivered some boxes to the man .
359,6,naba-pp,delivered,laura delivered my uncle some boxes .,laura delivered some boxes to my uncle .
360,6,naba-pp,delivered,john delivered a stranger some boxes .,john delivered some boxes to a stranger .
361,6,naba-pp,delivered,adam delivered him a gift .,adam delivered a gift to him .
362,6,naba-pp,delivered,ryan delivered her a gift .,ryan delivered a gift to her .
363,6,naba-pp,delivered,she delivered them a gift .,she delivered a gift to them .
364,6,naba-pp,delivered,john delivered us a gift .,john delivered a gift to us .
365,6,naba-pp,delivered,she delivered mommy a gift .,she delivered a gift to mommy .
366,6,naba-pp,delivered,she delivered the bear a gift .,she delivered a gift to the bear .
367,6,naba-pp,delivered,grandma delivered the girl a gift .,grandma delivered a gift to the girl .
368,6,naba-pp,delivered,she delivered the man a gift .,she delivered a gift to the man .
369,6,naba-pp,delivered,ryan delivered my uncle a gift .,ryan delivered a gift to my uncle .
370,6,naba-pp,delivered,adam delivered a stranger a gift .,adam delivered a gift to a stranger .
371,6,naba-pp,delivered,i delivered him food .,i delivered food to him .
372,6,naba-pp,delivered,she delivered her food .,she delivered food to her .
373,6,naba-pp,delivered,she delivered them food .,she delivered food to them .
374,6,naba-pp,delivered,the boy delivered us food .,the boy delivered food to us .
375,6,naba-pp,delivered,lily delivered mommy food .,lily delivered food to mommy .
