sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos
want me to give it to you ?,give,give,VB,it,you,PRP,PRP
can you give that to me ?,give,give,VB,that,me,DT,PRP
oh you're giving it to me ?,give,giving,VBG,it,me,PRP,PRP
will you get that paper and give it to me please ?,give,give,VB,it,me,PRP,PRP
oh you're giving it to me .,give,giving,VBG,it,me,PRP,PRP
ywame to give it to daddy ?,give,give,VB,it,daddy,PRP,NNP
are you gonna read it to me .,read,read,VB,it,me,PRP,PRP
bring it to mother .,bring,bring,VB,it,mother,PRP,NN
bring it to mother .,bring,bring,VB,it,mother,PRP,NN
can you bring it to mother ?,bring,bring,VB,it,mother,PRP,NN
bring that to mother .,bring,bring,VB,that,mother,DT,NN
well hand it to me .,hand,hand,VB,it,me,PRP,PRP
big bird's going to throw it to you .,throw,throw,VB,it,you,PRP,PRP
can you throw it to mother ?,throw,throw,VB,it,mother,PRP,NN
can you throw it to mother ?,throw,throw,VB,it,mother,PRP,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
okay throw it to mother .,throw,throw,VB,it,mother,PRP,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
can you throw it to mother ?,throw,throw,VB,it,mother,PRP,NN
can you throw the ball to mother ?,throw,throw,VB,ball,mother,NN,NN
want to throw it to mother .,throw,throw,VB,it,mother,PRP,NN
want to throw it to mother .,throw,throw,VB,it,mother,PRP,NN
we take him to the park on thursday while father works .,take,take,VBP,him,park,PRP,NN
give it to me !,give,give,VB,it,me,PRP,PRP
you're not gonna give it to me now .,give,give,VB,it,me,PRP,PRP
are you going to throw it to me .,throw,throw,VB,it,me,PRP,PRP
you bring it to mother .,bring,bring,VBP,it,mother,PRP,NN
okay throw the ball to mother .,throw,throw,VB,ball,mother,NN,NN
throw the ball to mother .,throw,throw,VB,ball,mother,NN,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
throw it to mother .,throw,throw,VB,it,mother,PRP,NN
bring big bird to mother .,bring,bring,VB,bird,mother,NN,NN
do you want to read the book to mother ?,read,read,VB,book,mother,NN,NN
can you roll the ball to mother ?,roll,roll,VB,ball,mother,NN,NN
roll the ball to mother .,roll,roll,VB,ball,mother,NN,NN
do you want to read the book to mother ?,read,read,VB,book,mother,NN,NN
can you roll the ball to mother ?,roll,roll,VB,ball,mother,NN,NN
roll the ball to mother .,roll,roll,VB,ball,mother,NN,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
you wouldn't want me to give it to you with the full banana flavor would you ?,give,give,VB,it,you,PRP,PRP
i'm giving it to you .,give,giving,VBG,it,you,PRP,PRP
and throw it to me .,throw,throw,VB,it,me,PRP,PRP
i'll throw it to you .,throw,throw,VB,it,you,PRP,PRP
you gonna throw that to mama ?,throw,throw,VB,that,mama,DT,NN
you wanna give it to the hippo ?,give,give,VB,it,hippo,PRP,NN
yeah you wanna give it to mommy ?,give,give,VB,it,mommy,PRP,NN
here give it to mommy .,give,give,VB,it,mommy,PRP,NN
you explain it to him ?,explain,explain,VBP,it,him,PRP,PRP
thank you for giving that to me .,give,giving,VBG,that,me,DT,PRP
thank you oh you brought it right over to me .,bring,brought,VBD,it,me,PRP,PRP
you're giving so many kisses to the babies in these books .,give,giving,VBG,kisses,babies,NNS,NNS
give it to you in your hand .,give,give,VB,it,you,PRP,PRP
i bet she'll take you to the play ground too .,take,take,VB,you,ground,PRP,NN
oh you're gonna give it to elmo .,give,give,VB,it,elmo,PRP,NNP
and then he reads a story to his monkey .,read,reads,VBZ,story,monkey,NN,NN
can you throw it to me ?,throw,throw,VB,it,me,PRP,PRP
can you feed it to the doggie ?,feed,feed,VB,it,doggie,PRP,NN
can you feed it to the doggie ?,feed,feed,VB,it,doggie,PRP,NN
feed it to the doggie ?,feed,feed,VB,it,doggie,PRP,NN
show it to mama .,show,show,VB,it,mama,PRP,NN
i'll go bring it to you .,bring,bring,VB,it,you,PRP,PRP
you wanna give some drops to daisy ?,give,give,VB,drops,daisy,NNS,NNP
you wanna give the kooshball to daisy ?,give,give,VB,kooshball,daisy,NN,NNP
would you like to feed some to puppy ?,feed,feed,VB,some,puppy,DT,NN
are you giving cards to birthday bear ?,give,giving,VBG,cards,bear,NNS,NNP
you gonna give it to eeyore after you chewed on it ?,give,give,VB,it,eeyore,PRP,NNP
you said morning to me without the good this morning .,say,said,VBD,morning,me,NN,PRP
you wanna give them to me ?,give,give,VB,them,me,PRP,PRP
throw the ball to mommy !,throw,throw,VB,ball,mommy,NN,NN
oh you throw it to me now .,throw,throw,VBP,it,me,PRP,PRP
i throw it to you .,throw,throw,VBP,it,you,PRP,PRP
can you stand over there and mama throw it to you ?,throw,throw,VB,it,you,PRP,PRP
i roll the ball to lexy .,roll,roll,VBP,ball,lexy,NN,NNP
can you roll the ball to mommy ?,roll,roll,VB,ball,mommy,NN,NN
can you roll it to mommy ?,roll,roll,VB,it,mommy,PRP,NN
can you throw that to mommy ?,throw,throw,VB,that,mommy,DT,NN
he whispers an idea to b j .,whisper,whispers,VBZ,idea,j,NN,NNP
bring it to mom .,bring,bring,VB,it,mom,PRP,NN
bring it to mama .,bring,bring,VB,it,mama,PRP,NN
bring it to mama .,bring,bring,VB,it,mama,PRP,NN
if you wanna read it you can bring it to mom .,bring,bring,VB,it,it,PRP,PRP
you gonna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
can you throw it to me ?,throw,throw,VB,it,me,PRP,PRP
can you throw the football to me ?,throw,throw,VB,football,me,NN,PRP
oh can you throw it to me ?,throw,throw,VB,it,me,PRP,PRP
wanna throw it to erin ?,throw,throw,VB,it,erin,PRP,NNP
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
roll the ball to erin .,roll,roll,VB,ball,erin,NN,NNP
roll the ball to erin .,roll,roll,VB,ball,erin,NN,NNP
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
wanna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
are you going to give it to me ?,give,give,VB,it,me,PRP,PRP
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
can i throw the ball to you .,throw,throw,VB,ball,you,NN,PRP
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
send it to mommy .,send,send,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
send the ball to mommy .,send,send,VB,ball,mommy,NN,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
you gonna give that to the baby too .,give,give,VB,that,baby,DT,NN
throw that ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
roll the ball to mom .,roll,roll,VB,ball,mom,NN,NN
throw it to mom !,throw,throw,VB,it,mom,PRP,NN
throw it to mom ?,throw,throw,VB,it,mom,PRP,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
give the ball to mommy .,give,give,VB,ball,mommy,NN,NN
give it to mommy !,give,give,VB,it,mommy,PRP,NN
give it to mommy ?,give,give,VB,it,mommy,PRP,NN
i'll give it to you !,give,give,VB,it,you,PRP,PRP
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
can you read that to me ?,read,read,VB,that,me,DT,PRP
can you read that to mommy ?,read,read,VB,that,mommy,DT,NN
and they had to take him to the hospital .,take,take,VB,him,hospital,PRP,NN
so she called an ambulance and they took gaspard to the hospital .,take,took,VBD,gaspard,hospital,NNP,NN
but i was still a little scared especially when she took me to the x ray room .,take,took,VBD,me,room,PRP,NN
can you get your cookie and hand it to mommy ?,hand,hand,VB,it,mommy,PRP,NN
okay you read it to mama .,read,read,VBD,it,mama,PRP,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
mommy will throw the ball to rachel .,throw,throw,VB,ball,rachel,NN,NNP
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
mommy will throw the ball to rachel .,throw,throw,VB,ball,rachel,NN,NNP
rachel's gonna throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
rachel throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
rachel throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
mommy gonna give the ball to rachel .,give,give,VB,ball,rachel,NN,NNP
rachel give it to mommy .,give,give,VBP,it,mommy,PRP,NN
mommy threw the ball to rachel .,throw,threw,VBD,ball,rachel,NN,NNP
mommy threw it to rachel .,throw,threw,VBD,it,rachel,PRP,NNP
are you gonna throw that to me .,throw,throw,VB,that,me,DT,PRP
throw it to me .,throw,throw,VB,it,me,PRP,PRP
can you throw it to momma ?,throw,throw,VB,it,momma,PRP,NN
can you throw it to momma ?,throw,throw,VB,it,momma,PRP,NN
give it to mommy .,give,give,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
okay throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
okay throw it to norman .,throw,throw,VB,it,norman,PRP,NNP
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw the football to mommy .,throw,throw,VB,football,mommy,NN,NN
throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
bring it to mommy !,bring,bring,VB,it,mommy,PRP,NN
throw the football to mommy !,throw,throw,VB,football,mommy,NN,NN
throw the football to mommy .,throw,throw,VB,football,mommy,NN,NN
throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
you're not paying any attention to me ?,pay,paying,VBG,attention,me,NN,PRP
throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
here throw it to me !,throw,throw,VB,it,me,PRP,PRP
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
sit down i'll roll it to you .,roll,roll,VB,it,you,PRP,PRP
here throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
you wanna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
wanna give it to mom ?,give,give,VB,it,mom,PRP,NN
do you wanna throw it to mom ?,throw,throw,VB,it,mom,PRP,NN
wanna throw it to mama .,throw,throw,VB,it,mama,PRP,NN
throw it to mama .,throw,throw,VB,it,mama,PRP,NN
do you want me to read it to you again ?,read,read,VB,it,you,PRP,PRP
go over there and mommy will throw it to you .,throw,throw,VB,it,you,PRP,PRP
do you wanna throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
do you wanna throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
here you throw it to me .,throw,throw,VBP,it,me,PRP,PRP
go get it throw it to mama .,throw,throw,VB,it,mama,PRP,NN
can you throw it to mama ?,throw,throw,VB,it,mama,PRP,NN
you wanna aha let's leave the camera alone for now you wanna show the book to the camera ?,show,show,VB,camera,book,NN,NN
throw it to mama !,throw,throw,VB,it,mama,PRP,NN
throw it to mama !,throw,throw,VB,it,mama,PRP,NN
roll it give it to mama !,give,give,VB,it,mama,PRP,NN
roll the ball to mommy .,roll,roll,VB,ball,mommy,NN,NN
roll the ball to mommy .,roll,roll,VB,ball,mommy,NN,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
come on you give it to mommy !,give,give,VBP,it,mommy,PRP,NN
throw the ball to mom !,throw,throw,VB,ball,mom,NN,NN
can you throw the ball to mommy ?,throw,throw,VB,ball,mommy,NN,NN
give it to me .,give,give,VB,it,me,PRP,PRP
give it to me ?,give,give,VB,it,me,PRP,PRP
give it to me .,give,give,VB,it,me,PRP,PRP
throw it to mama .,throw,throw,VB,it,mama,PRP,NN
throw the football to mommy .,throw,throw,VB,football,mommy,NN,NN
give the ball to mom .,give,give,VB,ball,mom,NN,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
throw the ball to teddy ?,throw,throw,VB,ball,teddy,NN,NNP
throw the ball to teddy .,throw,throw,VB,ball,teddy,NN,NNP
give the ball to teddy .,give,give,VB,ball,teddy,NN,NNP
you're not gonna give the ball to teddy .,give,give,VB,ball,teddy,NN,NNP
now give it to mama !,give,give,VB,it,mama,PRP,NN
give the ball to mommy ?,give,give,VB,ball,mommy,NN,NN
you roll it to mommy .,roll,roll,VBP,it,mommy,PRP,NN
bring the book to mommy and she'll read it to you .,bring,bring,VB,book,mommy,NN,NN
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
throw it to mommy !,throw,throw,VB,it,mommy,PRP,NN
i could feed it to him ?,feed,feed,VB,it,him,PRP,PRP
wanna throw it to me ?,throw,throw,VB,it,me,PRP,PRP
wanna throw it to ema ?,throw,throw,VB,it,ema,PRP,NNP
can you roll it to ema ?,roll,roll,VB,it,ema,PRP,NNP
can you roll it to ema ?,roll,roll,VB,it,ema,PRP,NNP
roll it to ema !,roll,roll,VB,it,ema,PRP,NNP
go get the ball cookie and bring it to ema .,bring,bring,VB,it,ema,PRP,NNP
do you want to throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
i'm gonna roll it to john !,roll,roll,VB,it,john,PRP,NNP
can you get the ball and throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
give it to mommy ?,give,give,VB,it,mommy,PRP,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
give it to mama !,give,give,VB,it,mama,PRP,NN
can you give him to me ?,give,give,VB,him,me,PRP,PRP
what does that dog say to john ?,say,say,VB,what,john,WP,NNP
what's the kitty cat say to john ?,say,say,VB,what,john,WP,NNP
wanna give that to mommy !,give,give,VB,that,mommy,DT,NN
are you giving the dirty blob to the book ?,give,giving,VBG,blob,book,NN,NN
you wanna read it to me ?,read,read,VB,it,me,PRP,PRP
are you gonna read that book to mommy ?,read,read,VB,book,mommy,NN,NN
can you bring that to mommy honey ?,bring,bring,VB,that,mommy,DT,NN
you wanna bring that to mommy ?,bring,bring,VB,that,mommy,DT,NN
can you bring it to mommy ?,bring,bring,VB,it,mommy,PRP,NN
you wanna throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
can you throw it to mommy ?,throw,throw,VB,it,mommy,PRP,NN
you're throwing it to the books .,throw,throwing,VBG,it,books,PRP,NNS
you're throwing it to the books .,throw,throwing,VBG,it,books,PRP,NNS
you gonna give that to lisa ?,give,give,VB,that,lisa,DT,NNP
can you bring the schoolbus to mommy ?,bring,bring,VB,schoolbus,mommy,NN,NN
can you bring it to mommy honey and she'll get the starfish out ?,bring,bring,VB,it,mommy,PRP,NN
i'll roll it to krystal .,roll,roll,VB,it,krystal,PRP,NNP
throw it to me .,throw,throw,VB,it,me,PRP,PRP
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
huh look at the house they make tracks from the house in the snow all the way to the mailbox .,make,make,VBP,house,tracks,NN,NNS
we gotta take this sticker off and i'll give it to you ?,give,give,VB,it,you,PRP,PRP
violet no no no no thanks for giving them to me .,give,giving,VBG,them,me,PRP,PRP
well i don't know i think i'll give this one to great grandma .,give,give,VB,one,grandma,NN,NN
throw it to me !,throw,throw,VB,it,me,PRP,PRP
can you get that one and give it to me and we'll put it away ?,give,give,VB,it,me,PRP,PRP
show it to mommy ?,show,show,VB,it,mommy,PRP,NN
want to want to bring them to mommy ?,bring,bring,VB,them,mommy,PRP,NN
want to bring them to mom ?,bring,bring,VB,them,mom,PRP,NN
give it to mom ?,give,give,VB,it,mom,PRP,NN
want to bring it to mom ?,bring,bring,VB,it,mom,PRP,NN
you bring that to mom too ?,bring,bring,VBP,that,mom,DT,NN
are you gonna give those to mama ?,give,give,VB,those,mama,DT,NN
are you gonna give those to mama ?,give,give,VB,those,mama,DT,NN
mama give it back to you ?,give,give,VB,it,you,PRP,PRP
give the ball to mommy .,give,give,VB,ball,mommy,NN,NN
and she gives it back to you .,give,gives,VBZ,it,you,PRP,PRP
wanna roll the ball to mama .,roll,roll,VB,ball,mama,NN,NN
give the ball to mama .,give,give,VB,ball,mama,NN,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
throw the ball to mama ?,throw,throw,VB,ball,mama,NN,NN
give it to mama ?,give,give,VB,it,mama,PRP,NN
give it to mama .,give,give,VB,it,mama,PRP,NN
you want me to read that to you ?,read,read,VB,that,you,DT,PRP
give it to me and i'll read it .,give,give,VB,it,me,PRP,PRP
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw it to mom .,throw,throw,VB,it,mom,PRP,NN
throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
throw the ball to mommy .,throw,throw,VB,ball,mommy,NN,NN
can you give them to mommy ?,give,give,VB,them,mommy,PRP,NN
we'll say goodbye to the yucky .,say,say,VB,goodbye,yucky,UH,NNP
okay you why don't you roll it to me ?,roll,roll,VB,it,me,PRP,PRP
now throw it to mommy .,throw,throw,VB,it,mommy,PRP,NN
huh can you show your special bye bye wave to manuela .,show,show,VB,wave,manuela,NN,NNP
you wanna show that hat to manuela ?,show,show,VB,hat,manuela,NN,NNP
can you show that to manuela ?,show,show,VB,that,manuela,DT,NNP
you wanna feed one to baby kate honey ?,feed,feed,VB,one,honey,CD,NNP
oh you're feeding one to the tree .,feed,feeding,VBG,one,tree,CD,NN
why don't you feed one to duckie ?,feed,feed,VB,one,duckie,CD,NN
you gonna feed it to daisy .,feed,feed,VB,it,daisy,PRP,NNP
what about lala you wanna feed some to lala ?,feed,feed,VB,lala,some,NNP,DT
you wanna feed some to duckie ?,feed,feed,VB,some,duckie,DT,NN
oh you feeding some to the bunny .,feed,feeding,VBG,some,bunny,DT,NN
you want to give that one to me ?,give,give,VB,one,me,NN,PRP
are you going to give them to me ?,give,give,VB,them,me,PRP,PRP
okay you can give them to me .,give,give,VB,them,me,PRP,PRP
i'll show them to you another time .,show,show,VB,them,you,PRP,PRP
bring it over to mommy .,bring,bring,VB,it,mommy,PRP,NN
remember she took you to the play ground to the park .,take,took,VBD,you,ground,PRP,NN
oh that truck is giving some dirt to that truck .,give,giving,VBG,dirt,truck,NN,NN
don't give it all to me .,give,give,VB,it,me,PRP,PRP
why don't you give em to me ?,give,give,VB,em,me,PRP,PRP
and she gave them to mommy and mommy gave them to you and you ate them .,give,gave,VBD,them,mommy,PRP,NN
oh are you gonna give that to me ?,give,give,VB,that,me,DT,PRP
okay we'll bring these two books to bed .,bring,bring,VB,books,bed,NNS,NN
you giving that to me ?,give,giving,VBG,that,me,DT,PRP
you wanna bring that over to me sweetie ?,bring,bring,VB,that,me,DT,PRP
can you hand that to me ?,hand,hand,VB,that,me,DT,PRP
do you want mommy to read it to you ?,read,read,VB,it,you,PRP,PRP
come with me growled foxy loxy i'll take you to the king .,take,take,VB,me,you,PRP,PRP
you giving that to me .,give,giving,VBG,that,me,DT,PRP
you wan a ball again okay give it to mommy ?,give,give,VB,ball,it,NN,PRP
she gave him things she told him secrets and sang lullabies to him every night .,sing,sang,VBD,lullabies,him,NNS,PRP
thanks for showing it to me .,show,showing,VBG,it,me,PRP,PRP
did you tell that to daddy ?,tell,tell,VB,that,daddy,DT,NN
why don't you give it to mommy i'll repair that meal .,give,give,VB,it,mommy,PRP,NN
and i give it to the baby ?,give,give,VBP,it,baby,PRP,NN
did you tell that to daddy .,tell,tell,VB,that,daddy,DT,NN
you should tell that to grandma and grandpa when they come visit .,tell,tell,VB,that,grandma,DT,NN
you giving the pen cap to your sippy cup .,give,giving,VBG,cap,cup,NN,NN
oh you gonna give that one to the monkey .,give,give,VB,one,monkey,NN,NN
oh you're gonna give your baba to the monkey .,give,give,VB,baba,monkey,NN,NN
oh your gonna give some to the monkey .,give,give,VB,some,monkey,DT,NN
okay give it to mommy .,give,give,VB,it,mommy,PRP,NN
thank you you're giving it to mommy oh and thank you i get to keep the box ?,give,giving,VBG,it,mommy,PRP,NN
can i read that to you ?,read,read,VB,that,you,DT,PRP
you wanna give it to him he's not here anymore ?,give,give,VB,it,him,PRP,PRP
you can give it to mommy hi starfish .,give,give,VB,it,mommy,PRP,NNP
can you give that to mommy ?,give,give,VB,that,mommy,DT,NN
who are you giving those to ?,give,giving,VBG,who,those,WP,DT
giving them to tyler ?,give,giving,VBG,them,tyler,PRP,NN
tyler went home you can give em to mommy .,give,give,VB,em,mommy,PRP,NN
you gave those to tyler ?,give,gave,VBD,those,tyler,DT,NNP
you wanna give that to tyler ?,give,give,VB,that,tyler,DT,NNP
you wanna give that to tyler ?,give,give,VB,that,tyler,DT,NNP
give it to mommy .,give,give,VB,it,mommy,PRP,NN
give it to mommy please .,give,give,VB,it,mommy,PRP,NN
i'm gonna give these to caroline today .,give,give,VB,these,caroline,DT,NNP
bring these to grandma .,bring,bring,VB,these,grandma,DT,NN
do you want some soggy wheat i'll give it to you ?,give,give,VB,wheat,it,NN,PRP
giving some to me .,give,giving,VBG,some,me,DT,PRP
mommy was not paying attention to the clock .,pay,paying,VBG,attention,clock,NN,NN
okay let me mix it a little more and then i'll give it to you ?,give,give,VB,it,you,PRP,PRP
yeah she'll read books to us ?,read,read,VB,books,us,NNS,PRP
you giving that to me .,give,giving,VBG,that,me,DT,PRP
naima's giving it to mommy ?,give,giving,VBG,it,mommy,PRP,NN
