sentence,lemma,verb,verb_pos,theme,recipient,theme_pos,recipient_pos,genset
i'll give it to bob .,give,give,VB,it,bob,PRP,NNP,
i read used to read this to you so many times every day .,read,read,VB,this,you,DT,PRP,
why don't you give one to ursula so she can write ?,give,give,VB,one,ursula,CD,NNP,
would you like to give them to him as a christmas present ?,give,give,VB,them,him,PRP,PRP,
maybe you better offer them to somebody who likes them .,offer,offer,VBP,them,somebody,PRP,NN,
what do they say to you ?,say,say,VB,what,you,WP,PRP,
you not gonna read it to me ?,read,read,VB,it,me,PRP,PRP,
the policeman says what to the lady ?,say,says,VBZ,what,lady,WP,NN,vbd
because i don't because i can't bring lily with me so tomorrow i can have don watch her and i can pop over to the hospital .,bring,bring,VB,lily,me,NNP,PRP,
is that what he says to you .,say,says,VBZ,what,you,WP,PRP,
maybe your dump truck can come and visit the village and bring things to the village .,bring,bring,VB,things,village,NNS,NN,
i think you've talked to a tape recorder before haven't you you said hello to it .,say,said,VBD,recorder,hello,NN,UH,vbd
yes you give it to ursula ?,give,give,VBP,it,ursula,PRP,NNP,
but i'll give you the cassette to hear if you'll give it back to me ?,give,give,VB,it,me,PRP,PRP,
did nonna bring snoopy to you too .,bring,bring,VB,snoopy,you,NN,PRP,
and who takes him to the train .,take,takes,VBZ,him,train,PRP,NN,vbd
melissa can you throw it to megan ?,throw,throw,VB,it,megan,PRP,NNP,
arthur and d w took baby kate to the street fair .,take,took,VBD,kate,fair,NNP,NN,vbd
give one to edna and one to daddy ?,give,give,VB,one,edna,CD,NNP,
mrs funny bunny took honey bunny to the bathroom ?,take,took,VBD,bunny,bathroom,NNP,NN,vbd
you'll just have to wait until daddy gives it to you ?,give,gives,VBZ,it,you,PRP,PRP,
do you need your own chair to sit in to read it to them ?,read,read,VB,it,them,PRP,PRP,
see he's giving a hug to his mommy isn't that nice ?,give,giving,VBG,hug,mommy,NN,NN,vbg
give it to daddy .,give,give,VB,it,daddy,PRP,NN,
oh adam why don't you give them to robin and then he can give them to his mother .,give,give,VB,them,robin,PRP,NNP,
why don't you get a book and read it to jack .,read,read,VB,it,jack,PRP,NNP,
and i'll read that to you later ?,read,read,VB,that,you,DT,PRP,
you give some to ross ?,give,give,VBP,some,ross,DT,NNP,
he sent p j to his room .,send,sent,VBD,j,room,NNP,NN,vbd
and what do you say to daddy when he gets when he goes off to the train .,say,say,VB,what,daddy,WP,NN,
lily do you wanna read your barn book to manuela !,read,read,VB,book,manuela,NN,NNP,
france gave the statue of liberty to new york ?,give,gave,VBD,statue,liberty,NNP,NNP,vbd
mama tell melissa to throw the ball to you .,throw,throw,VB,ball,you,NN,PRP,
now give it to me now and i'll put it away for tomorrow .,give,give,VB,it,me,PRP,PRP,
did you take your tiger mask to school ?,take,take,VB,mask,school,NN,NN,
give it to me .,give,give,VB,it,me,PRP,PRP,
give it to mummy ?,give,give,VB,it,mummy,PRP,NNP,
mr and mrs mouse took the children to the zoo .,take,took,VBD,children,zoo,NNS,NN,vbd
could you just give it to me and then i'll put it away for awhile okay .,give,give,VB,it,me,PRP,PRP,
did you say that to me ?,say,say,VB,that,me,DT,PRP,
aren't you going to read it to jim .,read,read,VB,it,jim,PRP,NNP,
why did chris give that to you ?,give,give,VB,that,you,DT,PRP,
but i think you should give some to ursula .,give,give,VB,some,ursula,DT,NNP,
but even that i'm like it's so hard to wait a whole week to give it to her because she wants it .,give,give,VB,it,her,PRP,PRP,
leave it to me .,leave,leave,VB,it,me,PRP,PRP,
we're gonna bring that to new york and you're gonna read it to gramma rosie .,bring,bring,VB,that,york,DT,NNP,
no i want to explain something to you ?,explain,explain,VB,something,you,NN,PRP,
a baby now did we give this to a baby when we moved to new york .,give,give,VB,this,baby,DT,NN,
who's going to take you to the museum ?,take,take,VB,you,museum,PRP,NN,
hey can i take this to school ?,take,take,VB,this,school,DT,NN,
you wanna read that to me ?,read,read,VB,that,me,DT,PRP,
i'm home you are you're finally here toot told his friends of his adventure and how he finally got back to woodcock pocket .,tell,told,VBD,friends,adventure,NNS,NN,vbd
you wanna to give water just like we give water to mimi right and tasha ?,give,give,VBP,water,mimi,NN,NNP,
give that to professor brown .,give,give,VB,that,brown,DT,NNP,
freight train is a train that carries things from place to place .,carry,carries,VBZ,things,place,NNS,NN,
those are stamps you use when you want to send a letter to italy .,send,send,VB,letter,italy,NN,NNP,
cause we couldn't drive the the tires to a garage to get them fixed right ?,drive,drive,VB,tires,garage,NNS,NN,
push it to the leaf ?,push,push,VB,it,leaf,PRP,NN,
daddy and who else goes to the who drops daddy off at the train ?,drop,drops,VBZ,the,daddy,DT,NN,
your giving a stick to daisy .,give,giving,VBG,stick,daisy,NN,NNP,vbg
oh you wanna bring tomorrow you want to bring band aids to ronnie and colleen too .,bring,bring,VB,aids,ronnie,NNS,NNP,
you read it to the both of us .,read,read,VBD,it,both,PRP,DT,vbd
who'd you write a letter to ?,write,write,VB,who,letter,WP,NN,
shall we take nonno to the beach .,take,take,VB,nonno,beach,NNS,NN,
daddy just wants to say one thing to mommy theresa .,say,say,VB,thing,theresa,NN,NNP,
you can read them to me .,read,read,VB,them,me,PRP,PRP,
what do you bring in your lunch box when you go to school ?,bring,bring,VB,what,box,WP,NN,
have him say something to me .,say,say,VB,something,me,NN,PRP,
do you take your lunch to school ?,take,take,VB,lunch,school,NN,NN,
because we will give it to you ?,give,give,VB,it,you,PRP,PRP,
and i tape it off and give it to you .,give,give,VBP,it,you,PRP,PRP,
remember daddy remember daddy carried you all the way home and then drove you to the to the hospital .,drive,drove,VBD,you,the,PRP,DT,vbd
show it to me .,show,show,VB,it,me,PRP,PRP,
you're going to have to buy another one and give it to ursula because you're breaking that one .,give,give,VB,it,ursula,PRP,NNP,
that's it now you can say hello to me .,say,say,VB,hello,me,UH,PRP,
you take dolly to the house like i took you ?,take,take,VBP,dolly,house,NNP,NN,
i think we brought them to maggie's house .,bring,brought,VBD,them,house,PRP,NN,vbd
hey there's the ball get it and throw it to me .,throw,throw,VB,it,me,PRP,PRP,
do give striped underwear to the zebra .,give,give,VB,underwear,zebra,NN,NN,
oh nonna took you to the zoo didn't she ?,take,took,VBD,you,zoo,PRP,NN,vbd
or take him to j p licks that's the one in brookline that we liked remember .,take,take,VB,him,licks,PRP,NNP,
here's it is kind of it's a helicopter that works like an ambulance it also brings people to the hospital but brings them in the air .,bring,brings,VBZ,people,hospital,NNS,NN,
especially when she took me to the x ray room .,take,took,VBD,me,room,PRP,NN,vbd
aren't you going to explain the reason to me .,explain,explain,VB,reason,me,NN,PRP,
shall we take this valentine to maggie's house and fix it .,take,take,VB,valentine,house,NN,NN,
you could read it to doug .,read,read,VB,it,doug,PRP,NNP,
okay megan you throw it to melissa .,throw,throw,VBP,it,melissa,PRP,NNP,
you know that man that i take my car to when it's broken ?,take,take,VBP,that,car,WDT,NN,x
take it to a friend johnny brown .,take,take,VB,it,friend,PRP,NN,
hello peter say something to me .,say,say,VB,something,me,NN,PRP,
you didn't pay any attention to them ?,pay,pay,VB,attention,them,NN,PRP,
no ross i'm not going to give them to you .,give,give,VB,them,you,PRP,PRP,
you want me to read it to you .,read,read,VB,it,you,PRP,PRP,
i never pushed you up to the table ?,push,pushed,VBD,you,table,PRP,NN,vbd
here hand it to mama i don't need that i think .,hand,hand,VB,it,mama,PRP,NNP,
alright i gotta go write this out to katie and mail it to her today .,write,write,VB,this,katie,DT,NNP,
who took you to the fire station ?,take,took,VBD,you,station,PRP,NN,vbd
maybe you wanna show your fire engine to manuela ?,show,show,VB,engine,manuela,NN,NNP,
you gonna read the book to your bears too .,read,read,VB,book,bears,NN,NNS,
carry piggy to the bank ?,carry,carry,VB,piggy,bank,NN,NN,
take the game and explain it to ursula ?,explain,explain,VB,it,ursula,PRP,NNP,
bring the baby to bed ?,bring,bring,VB,baby,bed,NN,NN,
chucky throw his banana peel over to the garden with rennie and slipped on this banana peel .,throw,throw,VB,peel,garden,NN,NN,
are you ready to say goodbye to the tape recorder ?,say,say,VB,goodbye,recorder,UH,NN,
show it to daddy .,show,show,VB,it,daddy,PRP,NN,
there's daddy reading a story to the bunny and his baby dolly .,read,reading,VBG,story,bunny,NN,NN,vbg
can you hand them to me and i'll stack them up ?,hand,hand,VB,them,me,PRP,PRP,
they took me to the hospital ?,take,took,VBD,me,hospital,PRP,NN,vbd
sunday night my mother took her to the cub scout party .,take,took,VBD,her,party,PRP,NN,vbd
give it back to her she had it ?,give,give,VB,it,her,PRP,PRP,
give it to me a minute !,give,give,VB,it,me,PRP,PRP,
i used to have to read these to you all the time .,read,read,VB,these,you,DT,PRP,
never brought it to his attention cause some of the kids in the neighborhood climb it .,bring,brought,VBD,it,attention,PRP,NN,vbd
give it to ursula .,give,give,VB,it,ursula,PRP,NNP,
can you read the pooh bear book to me ?,read,read,VB,book,me,NN,PRP,
are you saying something to me .,say,saying,VBG,something,me,NN,PRP,vbg
honey mommy does not want the clay on the rug honey because it sticks to the rug .,want,want,VB,clay,rug,NN,NN,
now you have to read it to me and roy and tom okay ?,read,read,VB,it,me,PRP,PRP,
you'd better give that back to ursula .,give,give,VB,that,ursula,DT,NNP,
bring it to dad so he can read it to you i'm gonna sit right here .,bring,bring,VB,it,dad,PRP,NN,
wanna give it to dada .,give,give,VB,it,dada,PRP,NNP,
come sit here and read it to me .,read,read,VB,it,me,PRP,PRP,
but what do you say to lise .,say,say,VB,what,lise,WP,NNP,
we made it to the troll bridge but the grumpy old troll won't let us cross unless we solve his riddle .,make,made,VBD,it,bridge,PRP,NN,vbd
can you read it to me ?,read,read,VB,it,me,PRP,PRP,
who did you give a bite to ?,give,give,VB,who,bite,WP,NN,
remember we took it to the shore ?,take,took,VBD,it,shore,PRP,NN,vbd
now let her hand them to you ?,hand,hand,VB,them,you,PRP,PRP,
can you write a letter to your grandma ?,write,write,VB,letter,grandma,NN,NN,
but i was still little scared specially when she took me to the x ray room .,take,took,VBD,me,room,PRP,NN,vbd
are you gonna read it to me .,read,read,VB,it,me,PRP,PRP,
reading the books to your bears ?,read,reading,VBG,books,bears,NNS,NNS,vbg
which story do you want to read to her .,read,read,VB,story,her,NN,PRP,
give them to me .,give,give,VB,them,me,PRP,PRP,
adam will give it to you .,give,give,VB,it,you,PRP,PRP,
they took me to the hospital oh those are the ambulance people .,take,took,VBD,me,hospital,PRP,NN,vbd
i think mommy probably takes him to the potty right ?,take,takes,VBZ,him,potty,PRP,NN,vbd
i have to go down to the bank and do a couple of errands and take her to dancing school .,take,take,VB,her,school,PRP,NN,
give it to me ?,give,give,VB,it,me,PRP,PRP,
we made it to the pumpkin patch ?,make,made,VBD,it,patch,PRP,NN,vbd
you gonna read chicken and earmuffs to the birds .,read,read,VB,chicken,birds,NN,NNS,
i will give it to you ?,give,give,VB,it,you,PRP,PRP,
no you better give it to me here ?,give,give,VBP,it,me,PRP,PRP,
you know usually it's the farmer who brings the cows to the veterinary hospital .,bring,brings,VBZ,cows,hospital,NNS,NN,
would you like mommy to read it to you .,read,read,VB,it,you,PRP,PRP,
do you want me to give it to you ?,give,give,VB,it,you,PRP,PRP,
did you show them to linda ?,show,show,VB,them,linda,PRP,NNP,
do you want to take your dolly to bed ?,take,take,VB,dolly,bed,NN,NN,
what did we give to the baby do you remember ?,give,give,VB,what,baby,WP,NN,
ross did you say something bad to your daddy ?,say,say,VB,something,daddy,NN,NN,
uh i don't think i'm gonna carry you out to the car ?,carry,carry,VB,you,car,PRP,NN,
all right let's see if the farmer will sell it to us for forty dollars !,sell,sell,VB,it,us,PRP,PRP,
someone's bringing them to the .,bring,bringing,VBG,them,the,PRP,DT,vbg
write a letter and you can give it to the mailman when he comes .,give,give,VB,it,mailman,PRP,NN,
woof say the puppies to the baby duck .,say,say,VB,puppies,duck,NNS,NN,
mississippi we'll have to tell that one to daddy tonight .,tell,tell,VB,one,daddy,NN,NN,
why don't we give this to the patient .,give,give,VB,this,patient,DT,NN,
you're giving it to me ?,give,giving,VBG,it,me,PRP,PRP,vbg
i already gave it to kalie .,give,gave,VBD,it,kalie,PRP,NNP,vbd
leila gave it to nina for her birthday .,give,gave,VBD,it,nina,PRP,NNP,vbd
give it to mommy !,give,give,VB,it,mommy,PRP,NN,
did maggie give this to you as a present .,give,give,VB,this,you,DT,PRP,
would you like to read it to me ?,read,read,VB,it,me,PRP,PRP,
i'll show it to you .,show,show,VB,it,you,PRP,PRP,
james will take him to school in a week when he goes back to college ?,take,take,VB,him,school,PRP,NN,
are you going to read it to me .,read,read,VB,it,me,PRP,PRP,
and her mommy is going to be happy to sing happy birthday to her daughter .,sing,sing,VB,birthday,daughter,NN,NN,
now you have to read the story to me .,read,read,VB,story,me,NN,PRP,
throw it to you ?,throw,throw,VB,it,you,PRP,PRP,
give it to the bird .,give,give,VB,it,bird,PRP,NN,
or just pass it to me ?,pass,pass,VB,it,me,PRP,PRP,
wait just a minute and she'll give it to you .,give,give,VB,it,you,PRP,PRP,
what does ernie say to bert ?,say,say,VB,what,bert,WP,NNP,
that's why i was giving it to you ?,give,giving,VBG,it,you,PRP,PRP,vbg
did nonna take you to the park ?,take,take,VB,you,park,PRP,NN,
so we gave it to aunt jill and uncle steve so they could carry baby cassie ?,give,gave,VBD,it,jill,PRP,NNP,vbd
sell it to me ?,sell,sell,VB,it,me,PRP,PRP,
they took him to boston to kalamazoo chicago weehawken and washington too !,take,took,VBD,him,boston,PRP,NNP,vbd
i'd bring it to jason .,bring,bring,VB,it,jason,PRP,NNP,
you wanna say anything to her ?,say,say,VB,anything,her,NN,PRP,
aren't you gonna read it to me ?,read,read,VB,it,me,PRP,PRP,
wanna give this to the cat .,give,give,VB,this,cat,DT,NN,
give that medicine to the bear twice a day .,give,give,VB,medicine,bear,NN,NN,
take it to a friend johnny brown ?,take,take,VB,it,friend,PRP,NN,
i gave it to ann marie but you can use it too now that she's not using using it ?,give,gave,VBD,it,marie,PRP,NNP,vbd
give it to me laura .,give,give,VB,it,me,PRP,PRP,
yeah so she gave it to sarah for christmas .,give,gave,VBD,it,sarah,PRP,NNP,vbd
do you wanna read can you read it to me ?,read,read,VB,it,me,PRP,PRP,
mama said she'd take you to the play ground after while ?,take,take,VB,you,ground,PRP,NN,
matt gave it to you ?,give,gave,VBD,it,you,PRP,PRP,vbd
a welcoming committee is someone or some people who say hello to someone who comes in to a new place .,say,say,VBP,hello,someone,UH,NN,
and you're introducing me to him .,introduce,introducing,VBG,me,him,PRP,PRP,vbg
can you give that to mommy ?,give,give,VB,that,mommy,DT,NN,
let's see i'll read that to you .,read,read,VB,that,you,DT,PRP,
who gave it to you that gave you that ?,give,gave,VBD,it,you,PRP,PRP,vbd
okay give it to me and i'll see if you can .,give,give,VB,it,me,PRP,PRP,
can you throw the balloon to linda ?,throw,throw,VB,balloon,linda,NN,NNP,
okay she's giving them to you ?,give,giving,VBG,them,you,PRP,PRP,vbg
want to give this to ursula .,give,give,VB,this,ursula,DT,NNP,
wanna throw the football to mommy ?,throw,throw,VB,football,mommy,NN,NN,
wait a second don't you wanna say goodbye to erin and then say merry christmas .,say,say,VB,goodbye,erin,UH,NNP,
want me to throw it to you ?,throw,throw,VB,it,you,PRP,PRP,
they're gonna take him to some place else .,take,take,VB,him,place,PRP,NN,
i'm giving it to you .,give,giving,VBG,it,you,PRP,PRP,vbg
my mom sent it to her so we have to bring it to new york with us .,send,sent,VBD,it,her,PRP,PRP,vbd
it belongs to you but george gave it to you .,give,gave,VBD,it,you,PRP,PRP,vbd
that's how you sold him you sold him to me and he had blood all over him ?,sell,sold,VBD,him,me,PRP,PRP,vbd
you wanna bring that to manuela ?,bring,bring,VB,that,manuela,DT,NNP,
yeah i was gonna send that to the people who had the baby ?,send,send,VB,that,people,DT,NNS,
i'm going to take these to school okay .,take,take,VB,these,school,DT,NN,
you say that to me .,say,say,VBP,that,me,DT,PRP,
okay do you want to sell it to me ?,sell,sell,VB,it,me,PRP,PRP,
now you sold it to me .,sell,sold,VBD,it,me,PRP,PRP,vbd
come read it to me .,read,read,VB,it,me,PRP,PRP,
now let me help you snap it to your shirt .,snap,snap,VB,it,shirt,PRP,NN,
you're going to show it to her ?,show,show,VB,it,her,PRP,PRP,
oh there's your new book can you bring it to me ?,bring,bring,VB,it,me,PRP,PRP,
okay if you want mommy to get it then you're gonna have to give it to me and i'll get the almond out for you .,give,give,VB,it,me,PRP,PRP,
can you say that to yourself ?,say,say,VB,that,yourself,DT,PRP,
i have to go home now and read a read a book to my little girl .,read,read,VB,book,girl,NN,NN,
did adam give that to ursula ?,give,give,VB,that,ursula,DT,NNP,
i broke my cream pitcher so i'll just give it to you .,give,give,VB,it,you,PRP,PRP,
maybe we can take it out to the grillo's so that they'll have some toys for their bath tub .,take,take,VB,it,grillo,PRP,NNS,
oh you gonna carry him to another room in the hospital .,carry,carry,VB,him,room,PRP,NN,
i i have trouble explaining it to you laura ?,explain,explaining,VBG,it,you,PRP,PRP,vbg
sing me take me out to the baseball game .,take,take,VB,me,game,PRP,NN,
you want me to read that to you ?,read,read,VB,that,you,DT,PRP,
you gave it to me ?,give,gave,VBD,it,me,PRP,PRP,vbd
you read a story to the class now .,read,read,VBP,story,class,NN,NN,
when you woken up a little bit more you can help me to take things from back yard to the garage ?,take,take,VB,things,yard,NNS,NN,
what would all the mamas say to each other if they was visiting ?,say,say,VB,what,other,WP,JJ,
you wanna give it to me ?,give,give,VB,it,me,PRP,PRP,
i'm gonna throw it to you .,throw,throw,VB,it,you,PRP,PRP,
you want me to read it to you all .,read,read,VB,it,you,PRP,PRP,
and the trains take it to all kinds of places ?,take,take,VBP,it,kinds,PRP,NNS,
i know you'll tell a story to big bird won't you .,tell,tell,VB,story,bird,NN,NNP,
would you read that story to me peter ?,read,read,VB,story,me,NN,PRP,
go ahead bring it to her .,bring,bring,VB,it,her,PRP,PRP,
are you going to hand that to me .,hand,hand,VB,that,me,DT,PRP,
how about take me out to the baseball game ?,take,take,VB,me,game,PRP,NN,
now we have to find the quickest way to the library who do we ask for help when we don't know which way to go !,ask,ask,VB,way,library,NN,NN,
it carries the pollen to other flowers and this helps the flowers to make new seeds ?,carry,carries,VBZ,pollen,flowers,NN,NNS,
going to give it to robin ?,give,give,VB,it,robin,PRP,NNP,
you can tell you read the story to me .,read,read,VB,story,me,NN,PRP,
