idx,dative,givenness_template,hypothesis_id,hypothesis_item,code_id,code_score,length_score,haap_score,score,best_lr,best_wd,best_epoch,template_id,item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,theme_givenness,recipient_givenness
7,DO,2,1,4,15,3,0,3,3,0.05,0,14,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Alex !
<s> Alex [verb] someone us .",Alex,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
7,DO,3,1,4,15,3,0,3,3,0.05,0,13,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Alex !
<s> Alex [verb] someone us .",Alex,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
9,DO,1,1,5,15,3,0,3,3,0.05,0,12,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Michael ?
<s> Michael [verb] someone me .",Michael,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
9,DO,2,1,5,15,3,0,3,3,0.05,0,20,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Michael !
<s> Michael [verb] someone me .",Michael,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
9,DO,3,1,5,15,3,0,3,3,0.05,0,7,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Michael !
<s> Michael [verb] someone me .",Michael,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
11,DO,1,1,6,15,3,0,3,3,0.05,0,9,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Judy ?
<s> Judy [verb] someone us .",Judy,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
11,DO,2,1,6,15,3,0,3,3,0.05,0,5,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Judy !
<s> Judy [verb] someone us .",Judy,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
11,DO,3,1,6,15,3,0,3,3,0.05,0,3,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Judy !
<s> Judy [verb] someone us .",Judy,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
13,DO,1,1,7,15,3,0,3,3,0.05,0,70,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Sarah ?
<s> Sarah [verb] someone me .",Sarah,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
13,DO,2,1,7,15,3,0,3,3,0.05,0,16,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Sarah !
<s> Sarah [verb] someone me .",Sarah,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
13,DO,3,1,7,15,3,0,3,3,0.05,0,26,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Sarah !
<s> Sarah [verb] someone me .",Sarah,me,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
15,DO,1,1,8,15,3,0,3,3,0.05,0,19,1,1,agent-only,agent-only,agent-only_none__padpai_0,"Do you see Jenny ?
<s> Jenny [verb] someone us .",Jenny,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
15,DO,2,1,8,15,3,0,3,3,0.05,0,12,2,1,agent-only,agent-only,agent-only_none__padpai_0,"Look it's Jenny !
<s> Jenny [verb] someone us .",Jenny,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
15,DO,3,1,8,15,3,0,3,3,0.05,0,7,3,1,agent-only,agent-only,agent-only_none__padpai_0,"Here's Jenny !
<s> Jenny [verb] someone us .",Jenny,us,someone,pronoun,animate,definite,pronoun,animate,indefinite,0,new,new
17,DO,1,2,1,15,2,0,2,2,0.05,0,16,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Sarah ?
<s> Sarah [verb] something us .",Sarah,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
17,DO,2,2,1,15,2,0,2,2,0.05,0,9,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Sarah !
<s> Sarah [verb] something us .",Sarah,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
17,DO,3,2,1,15,2,0,2,2,0.05,0,7,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Sarah !
<s> Sarah [verb] something us .",Sarah,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
19,DO,1,2,2,15,2,0,2,2,0.05,0,16,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Alex ?
<s> Alex [verb] something me .",Alex,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
19,DO,2,2,2,15,2,0,2,2,0.05,0,17,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Alex !
<s> Alex [verb] something me .",Alex,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
19,DO,3,2,2,15,2,0,2,2,0.05,0,13,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Alex !
<s> Alex [verb] something me .",Alex,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
21,DO,1,2,3,15,2,0,2,2,0.05,0,12,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see William ?
<s> William [verb] something us .",William,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
21,DO,2,2,3,15,2,0,2,2,0.05,0,12,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's William !
<s> William [verb] something us .",William,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
21,DO,3,2,3,15,2,0,2,2,0.05,0,6,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's William !
<s> William [verb] something us .",William,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
23,DO,1,2,4,15,2,0,2,2,0.05,0,11,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Mark ?
<s> Mark [verb] something me .",Mark,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
23,DO,2,2,4,15,2,0,2,2,0.05,0,14,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Mark !
<s> Mark [verb] something me .",Mark,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
23,DO,3,2,4,15,2,0,2,2,0.05,0,11,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Mark !
<s> Mark [verb] something me .",Mark,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
25,DO,1,2,5,15,2,0,2,2,0.05,0,11,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Judy ?
<s> Judy [verb] something us .",Judy,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
25,DO,2,2,5,15,2,0,2,2,0.05,0,14,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Judy !
<s> Judy [verb] something us .",Judy,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
25,DO,3,2,5,15,2,0,2,2,0.05,0,12,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Judy !
<s> Judy [verb] something us .",Judy,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
27,DO,1,2,6,15,2,0,2,2,0.05,0,13,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Michael ?
<s> Michael [verb] something me .",Michael,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
27,DO,2,2,6,15,2,0,2,2,0.05,0,11,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Michael !
<s> Michael [verb] something me .",Michael,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
27,DO,3,2,6,15,2,0,2,2,0.05,0,16,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Michael !
<s> Michael [verb] something me .",Michael,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
29,DO,1,2,7,15,2,0,2,2,0.05,0,14,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Jenny ?
<s> Jenny [verb] something us .",Jenny,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
29,DO,2,2,7,15,2,0,2,2,0.05,0,15,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Jenny !
<s> Jenny [verb] something us .",Jenny,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
29,DO,3,2,7,15,2,0,2,2,0.05,0,9,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Jenny !
<s> Jenny [verb] something us .",Jenny,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
31,DO,1,2,8,15,2,0,2,2,0.05,0,52,1,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Laura ?
<s> Laura [verb] something me .",Laura,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
31,DO,2,2,8,15,2,0,2,2,0.05,0,70,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Look it's Laura !
<s> Laura [verb] something me .",Laura,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
31,DO,3,2,8,15,2,0,2,2,0.05,0,10,3,2,agent-only,agent-only,agent-only_none__padpii_0,"Here's Laura !
<s> Laura [verb] something me .",Laura,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,new,new
33,DO,1,3,1,15,3,0,3,3,0.05,0,12,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Mark ?
<s> Mark [verb] mommy me .",Mark,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
33,DO,2,3,1,15,3,0,3,3,0.05,0,13,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Mark !
<s> Mark [verb] mommy me .",Mark,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
33,DO,3,3,1,15,3,0,3,3,0.05,0,37,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Mark !
<s> Mark [verb] mommy me .",Mark,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
35,DO,1,3,2,15,3,0,3,3,0.05,0,4,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Judy ?
<s> Judy [verb] daddy me .",Judy,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
35,DO,2,3,2,15,3,0,3,3,0.05,0,7,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Judy !
<s> Judy [verb] daddy me .",Judy,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
35,DO,3,3,2,15,3,0,3,3,0.05,0,4,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Judy !
<s> Judy [verb] daddy me .",Judy,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
37,DO,1,3,3,15,3,0,3,3,0.05,0,2,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Sarah ?
<s> Sarah [verb] mommy us .",Sarah,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
37,DO,2,3,3,15,3,0,3,3,0.05,0,8,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Sarah !
<s> Sarah [verb] mommy us .",Sarah,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
37,DO,3,3,3,15,3,0,3,3,0.05,0,11,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Sarah !
<s> Sarah [verb] mommy us .",Sarah,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
39,DO,1,3,4,15,3,0,3,3,0.05,0,10,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Jenny ?
<s> Jenny [verb] daddy us .",Jenny,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
39,DO,2,3,4,15,3,0,3,3,0.05,0,70,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Jenny !
<s> Jenny [verb] daddy us .",Jenny,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
39,DO,3,3,4,15,3,0,3,3,0.05,0,36,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Jenny !
<s> Jenny [verb] daddy us .",Jenny,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
41,DO,1,3,5,15,3,0,3,3,0.05,0,2,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Laura ?
<s> Laura [verb] mommy me .",Laura,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
41,DO,2,3,5,15,3,0,3,3,0.05,0,2,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Laura !
<s> Laura [verb] mommy me .",Laura,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
41,DO,3,3,5,15,3,0,3,3,0.05,0,20,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Laura !
<s> Laura [verb] mommy me .",Laura,me,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
43,DO,1,3,6,15,3,0,3,3,0.05,0,3,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see William ?
<s> William [verb] daddy me .",William,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
43,DO,2,3,6,15,3,0,3,3,0.05,0,13,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's William !
<s> William [verb] daddy me .",William,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
43,DO,3,3,6,15,3,0,3,3,0.05,0,12,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's William !
<s> William [verb] daddy me .",William,me,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
45,DO,1,3,7,15,3,0,3,3,0.05,0,2,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Michael ?
<s> Michael [verb] mommy us .",Michael,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
45,DO,2,3,7,15,3,0,3,3,0.05,0,15,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Michael !
<s> Michael [verb] mommy us .",Michael,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
45,DO,3,3,7,15,3,0,3,3,0.05,0,9,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Michael !
<s> Michael [verb] mommy us .",Michael,us,mommy,pronoun,animate,definite,noun,animate,definite,0,new,new
47,DO,1,3,8,15,3,0,3,3,0.05,0,13,1,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Alex ?
<s> Alex [verb] daddy us .",Alex,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
47,DO,2,3,8,15,3,0,3,3,0.05,0,8,2,3,agent-only,agent-only,agent-only_none__padnad_0,"Look it's Alex !
<s> Alex [verb] daddy us .",Alex,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
47,DO,3,3,8,15,3,0,3,3,0.05,0,14,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Here's Alex !
<s> Alex [verb] daddy us .",Alex,us,daddy,pronoun,animate,definite,noun,animate,definite,0,new,new
49,DO,1,4,1,15,3,-1,2,2,0.05,0,70,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Jenny ?
<s> Jenny [verb] the boy us .",Jenny,us,the boy,pronoun,animate,definite,noun,animate,definite,-1,new,new
49,DO,2,4,1,15,3,-1,2,2,0.05,0,25,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Jenny !
<s> Jenny [verb] the boy us .",Jenny,us,the boy,pronoun,animate,definite,noun,animate,definite,-1,new,new
49,DO,3,4,1,15,3,-1,2,2,0.05,0,40,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Jenny !
<s> Jenny [verb] the boy us .",Jenny,us,the boy,pronoun,animate,definite,noun,animate,definite,-1,new,new
51,DO,1,4,2,15,3,-1,2,2,0.05,0,63,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Sarah ?
<s> Sarah [verb] the girls me .",Sarah,me,the girls,pronoun,animate,definite,noun,animate,definite,-1,new,new
51,DO,2,4,2,15,3,-1,2,2,0.05,0,43,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Sarah !
<s> Sarah [verb] the girls me .",Sarah,me,the girls,pronoun,animate,definite,noun,animate,definite,-1,new,new
51,DO,3,4,2,15,3,-1,2,2,0.05,0,21,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Sarah !
<s> Sarah [verb] the girls me .",Sarah,me,the girls,pronoun,animate,definite,noun,animate,definite,-1,new,new
53,DO,1,4,3,15,3,-1,2,2,0.05,0,36,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Michael ?
<s> Michael [verb] the cat me .",Michael,me,the cat,pronoun,animate,definite,noun,animate,definite,-1,new,new
53,DO,2,4,3,15,3,-1,2,2,0.05,0,62,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Michael !
<s> Michael [verb] the cat me .",Michael,me,the cat,pronoun,animate,definite,noun,animate,definite,-1,new,new
53,DO,3,4,3,15,3,-1,2,2,0.05,0,46,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Michael !
<s> Michael [verb] the cat me .",Michael,me,the cat,pronoun,animate,definite,noun,animate,definite,-1,new,new
55,DO,1,4,4,15,3,-1,2,2,0.05,0,70,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Laura ?
<s> Laura [verb] the horses us .",Laura,us,the horses,pronoun,animate,definite,noun,animate,definite,-1,new,new
55,DO,2,4,4,15,3,-1,2,2,0.05,0,70,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Laura !
<s> Laura [verb] the horses us .",Laura,us,the horses,pronoun,animate,definite,noun,animate,definite,-1,new,new
55,DO,3,4,4,15,3,-1,2,2,0.05,0,70,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Laura !
<s> Laura [verb] the horses us .",Laura,us,the horses,pronoun,animate,definite,noun,animate,definite,-1,new,new
57,DO,1,4,5,15,3,-1,2,2,0.05,0,70,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Alex ?
<s> Alex [verb] the horse us .",Alex,us,the horse,pronoun,animate,definite,noun,animate,definite,-1,new,new
57,DO,2,4,5,15,3,-1,2,2,0.05,0,65,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Alex !
<s> Alex [verb] the horse us .",Alex,us,the horse,pronoun,animate,definite,noun,animate,definite,-1,new,new
57,DO,3,4,5,15,3,-1,2,2,0.05,0,17,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Alex !
<s> Alex [verb] the horse us .",Alex,us,the horse,pronoun,animate,definite,noun,animate,definite,-1,new,new
59,DO,1,4,6,15,3,-1,2,2,0.05,0,21,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Judy ?
<s> Judy [verb] the boys us .",Judy,us,the boys,pronoun,animate,definite,noun,animate,definite,-1,new,new
59,DO,2,4,6,15,3,-1,2,2,0.05,0,23,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Judy !
<s> Judy [verb] the boys us .",Judy,us,the boys,pronoun,animate,definite,noun,animate,definite,-1,new,new
59,DO,3,4,6,15,3,-1,2,2,0.05,0,12,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Judy !
<s> Judy [verb] the boys us .",Judy,us,the boys,pronoun,animate,definite,noun,animate,definite,-1,new,new
61,DO,1,4,7,15,3,-1,2,2,0.05,0,20,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see William ?
<s> William [verb] the bears us .",William,us,the bears,pronoun,animate,definite,noun,animate,definite,-1,new,new
61,DO,2,4,7,15,3,-1,2,2,0.05,0,44,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's William !
<s> William [verb] the bears us .",William,us,the bears,pronoun,animate,definite,noun,animate,definite,-1,new,new
61,DO,3,4,7,15,3,-1,2,2,0.05,0,10,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's William !
<s> William [verb] the bears us .",William,us,the bears,pronoun,animate,definite,noun,animate,definite,-1,new,new
63,DO,1,4,8,15,3,-1,2,2,0.05,0,12,1,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Mark ?
<s> Mark [verb] the dog us .",Mark,us,the dog,pronoun,animate,definite,noun,animate,definite,-1,new,new
63,DO,2,4,8,15,3,-1,2,2,0.05,0,6,2,4,agent-only,agent-only,agent-only_none__padnad_-1,"Look it's Mark !
<s> Mark [verb] the dog us .",Mark,us,the dog,pronoun,animate,definite,noun,animate,definite,-1,new,new
63,DO,3,4,8,15,3,-1,2,2,0.05,0,69,3,4,agent-only,agent-only,agent-only_none__padnad_-1,"Here's Mark !
<s> Mark [verb] the dog us .",Mark,us,the dog,pronoun,animate,definite,noun,animate,definite,-1,new,new
65,DO,1,5,1,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,33,1,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Michael ?
<s> Michael [verb] the naughty girls us .",Michael,us,the naughty girls,pronoun,animate,definite,noun,animate,definite,-2,new,new
65,DO,2,5,1,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,25,2,5,agent-only,agent-only,agent-only_none__padnad_-2,"Look it's Michael !
<s> Michael [verb] the naughty girls us .",Michael,us,the naughty girls,pronoun,animate,definite,noun,animate,definite,-2,new,new
65,DO,3,5,1,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,27,3,5,agent-only,agent-only,agent-only_none__padnad_-2,"Here's Michael !
<s> Michael [verb] the naughty girls us .",Michael,us,the naughty girls,pronoun,animate,definite,noun,animate,definite,-2,new,new
67,DO,1,5,2,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,70,1,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Mark ?
<s> Mark [verb] the little girl us .",Mark,us,the little girl,pronoun,animate,definite,noun,animate,definite,-2,new,new
67,DO,2,5,2,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,24,2,5,agent-only,agent-only,agent-only_none__padnad_-2,"Look it's Mark !
<s> Mark [verb] the little girl us .",Mark,us,the little girl,pronoun,animate,definite,noun,animate,definite,-2,new,new
67,DO,3,5,2,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,11,3,5,agent-only,agent-only,agent-only_none__padnad_-2,"Here's Mark !
<s> Mark [verb] the little girl us .",Mark,us,the little girl,pronoun,animate,definite,noun,animate,definite,-2,new,new
69,DO,1,5,3,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,64,1,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Sarah ?
<s> Sarah [verb] the little horses us .",Sarah,us,the little horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
69,DO,2,5,3,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,5,2,5,agent-only,agent-only,agent-only_none__padnad_-2,"Look it's Sarah !
<s> Sarah [verb] the little horses us .",Sarah,us,the little horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
69,DO,3,5,3,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,5,3,5,agent-only,agent-only,agent-only_none__padnad_-2,"Here's Sarah !
<s> Sarah [verb] the little horses us .",Sarah,us,the little horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
71,DO,1,5,4,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,60,1,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see William ?
<s> William [verb] the little cat us .",William,us,the little cat,pronoun,animate,definite,noun,animate,definite,-2,new,new
71,DO,2,5,4,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,15,2,5,agent-only,agent-only,agent-only_none__padnad_-2,"Look it's William !
<s> William [verb] the little cat us .",William,us,the little cat,pronoun,animate,definite,noun,animate,definite,-2,new,new
71,DO,3,5,4,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,28,3,5,agent-only,agent-only,agent-only_none__padnad_-2,"Here's William !
<s> William [verb] the little cat us .",William,us,the little cat,pronoun,animate,definite,noun,animate,definite,-2,new,new
73,DO,1,5,5,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,68,1,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Alex ?
<s> Alex [verb] the small horses me .",Alex,me,the small horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
73,DO,2,5,5,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,22,2,5,agent-only,agent-only,agent-only_none__padnad_-2,"Look it's Alex !
<s> Alex [verb] the small horses me .",Alex,me,the small horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
73,DO,3,5,5,15,3,-1.6931471805599454,1.3068528194400546,1.3068528194400546,0.05,0,48,3,5,agent-only,agent-only,agent-only_none__padnad_-2,"Here's Alex !
<s> Alex [verb] the small horses me .",Alex,me,the small horses,pronoun,animate,definite,noun,animate,definite,-2,new,new
