idx,template_id,item,dative,hypothesis_id,hypothesis_item,template_type,template,combo,stimulus,agent,theme,recipient,theme_pronominality,theme_animacy,theme_definiteness,recipient_pronominality,recipient_animacy,recipient_definiteness,length_diff,givenness_template,theme_givenness,recipient_givenness
17,1,2,do,2,1,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Sarah ?
<s> Sarah [verb] something us .",Sarah,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
18,1,2,pp,2,1,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Sarah ?
<s> Sarah [verb] us to something .",Sarah,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
19,1,2,do,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Alex ?
<s> Alex [verb] something me .",Alex,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
20,1,2,pp,2,2,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Alex ?
<s> Alex [verb] me to something .",Alex,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
21,1,2,do,2,3,agent-only,agent-only,agent-only_none__padpii_0,"Do you see William ?
<s> William [verb] something us .",William,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
22,1,2,pp,2,3,agent-only,agent-only,agent-only_none__padpii_0,"Do you see William ?
<s> William [verb] us to something .",William,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
23,1,2,do,2,4,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Mark ?
<s> Mark [verb] something me .",Mark,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
24,1,2,pp,2,4,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Mark ?
<s> Mark [verb] me to something .",Mark,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
25,1,2,do,2,5,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Judy ?
<s> Judy [verb] something us .",Judy,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
26,1,2,pp,2,5,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Judy ?
<s> Judy [verb] us to something .",Judy,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
27,1,2,do,2,6,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Michael ?
<s> Michael [verb] something me .",Michael,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
28,1,2,pp,2,6,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Michael ?
<s> Michael [verb] me to something .",Michael,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
29,1,2,do,2,7,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Jenny ?
<s> Jenny [verb] something us .",Jenny,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
30,1,2,pp,2,7,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Jenny ?
<s> Jenny [verb] us to something .",Jenny,us,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
31,1,2,do,2,8,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Laura ?
<s> Laura [verb] something me .",Laura,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
32,1,2,pp,2,8,agent-only,agent-only,agent-only_none__padpii_0,"Do you see Laura ?
<s> Laura [verb] me to something .",Laura,me,something,pronoun,animate,definite,pronoun,inanimate,indefinite,0,1,new,new
33,1,3,do,3,1,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Mark ?
<s> Mark [verb] mommy me .",Mark,me,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
34,1,3,pp,3,1,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Mark ?
<s> Mark [verb] me to mommy .",Mark,me,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
35,1,3,do,3,2,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Judy ?
<s> Judy [verb] daddy me .",Judy,me,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
36,1,3,pp,3,2,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Judy ?
<s> Judy [verb] me to daddy .",Judy,me,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
37,1,3,do,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Sarah ?
<s> Sarah [verb] mommy us .",Sarah,us,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
38,1,3,pp,3,3,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Sarah ?
<s> Sarah [verb] us to mommy .",Sarah,us,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
39,1,3,do,3,4,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Jenny ?
<s> Jenny [verb] daddy us .",Jenny,us,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
40,1,3,pp,3,4,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Jenny ?
<s> Jenny [verb] us to daddy .",Jenny,us,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
41,1,3,do,3,5,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Laura ?
<s> Laura [verb] mommy me .",Laura,me,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
42,1,3,pp,3,5,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Laura ?
<s> Laura [verb] me to mommy .",Laura,me,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
43,1,3,do,3,6,agent-only,agent-only,agent-only_none__padnad_0,"Do you see William ?
<s> William [verb] daddy me .",William,me,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
44,1,3,pp,3,6,agent-only,agent-only,agent-only_none__padnad_0,"Do you see William ?
<s> William [verb] me to daddy .",William,me,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
45,1,3,do,3,7,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Michael ?
<s> Michael [verb] mommy us .",Michael,us,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
46,1,3,pp,3,7,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Michael ?
<s> Michael [verb] us to mommy .",Michael,us,mommy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
47,1,3,do,3,8,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Alex ?
<s> Alex [verb] daddy us .",Alex,us,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
48,1,3,pp,3,8,agent-only,agent-only,agent-only_none__padnad_0,"Do you see Alex ?
<s> Alex [verb] us to daddy .",Alex,us,daddy,pronoun,animate,definite,noun,animate,definite,0,1,new,new
49,1,4,do,4,1,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Jenny ?
<s> Jenny [verb] the boy us .",Jenny,us,the boy,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
50,1,4,pp,4,1,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Jenny ?
<s> Jenny [verb] us to the boy .",Jenny,us,the boy,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
51,1,4,do,4,2,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Sarah ?
<s> Sarah [verb] the girls me .",Sarah,me,the girls,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
52,1,4,pp,4,2,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Sarah ?
<s> Sarah [verb] me to the girls .",Sarah,me,the girls,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
53,1,4,do,4,3,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Michael ?
<s> Michael [verb] the cat me .",Michael,me,the cat,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
54,1,4,pp,4,3,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Michael ?
<s> Michael [verb] me to the cat .",Michael,me,the cat,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
55,1,4,do,4,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Laura ?
<s> Laura [verb] the horses us .",Laura,us,the horses,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
56,1,4,pp,4,4,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Laura ?
<s> Laura [verb] us to the horses .",Laura,us,the horses,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
57,1,4,do,4,5,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Alex ?
<s> Alex [verb] the horse us .",Alex,us,the horse,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
58,1,4,pp,4,5,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Alex ?
<s> Alex [verb] us to the horse .",Alex,us,the horse,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
59,1,4,do,4,6,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Judy ?
<s> Judy [verb] the boys us .",Judy,us,the boys,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
60,1,4,pp,4,6,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Judy ?
<s> Judy [verb] us to the boys .",Judy,us,the boys,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
61,1,4,do,4,7,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see William ?
<s> William [verb] the bears us .",William,us,the bears,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
62,1,4,pp,4,7,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see William ?
<s> William [verb] us to the bears .",William,us,the bears,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
63,1,4,do,4,8,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Mark ?
<s> Mark [verb] the dog us .",Mark,us,the dog,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
64,1,4,pp,4,8,agent-only,agent-only,agent-only_none__padnad_-1,"Do you see Mark ?
<s> Mark [verb] us to the dog .",Mark,us,the dog,pronoun,animate,definite,noun,animate,definite,-1,1,new,new
65,1,5,do,5,1,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Michael ?
<s> Michael [verb] the naughty girls us .",Michael,us,the naughty girls,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
66,1,5,pp,5,1,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Michael ?
<s> Michael [verb] us to the naughty girls .",Michael,us,the naughty girls,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
67,1,5,do,5,2,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Mark ?
<s> Mark [verb] the little girl us .",Mark,us,the little girl,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
68,1,5,pp,5,2,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Mark ?
<s> Mark [verb] us to the little girl .",Mark,us,the little girl,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
69,1,5,do,5,3,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Sarah ?
<s> Sarah [verb] the little horses us .",Sarah,us,the little horses,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
70,1,5,pp,5,3,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Sarah ?
<s> Sarah [verb] us to the little horses .",Sarah,us,the little horses,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
71,1,5,do,5,4,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see William ?
<s> William [verb] the little cat us .",William,us,the little cat,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
72,1,5,pp,5,4,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see William ?
<s> William [verb] us to the little cat .",William,us,the little cat,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
73,1,5,do,5,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Alex ?
<s> Alex [verb] the small horses me .",Alex,me,the small horses,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
74,1,5,pp,5,5,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Alex ?
<s> Alex [verb] me to the small horses .",Alex,me,the small horses,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
75,1,5,do,5,6,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Laura ?
<s> Laura [verb] the little dogs us .",Laura,us,the little dogs,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
76,1,5,pp,5,6,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Laura ?
<s> Laura [verb] us to the little dogs .",Laura,us,the little dogs,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
77,1,5,do,5,7,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Judy ?
<s> Judy [verb] the big dogs us .",Judy,us,the big dogs,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
78,1,5,pp,5,7,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Judy ?
<s> Judy [verb] us to the big dogs .",Judy,us,the big dogs,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
79,1,5,do,5,8,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Jenny ?
<s> Jenny [verb] the baby girl me .",Jenny,me,the baby girl,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
80,1,5,pp,5,8,agent-only,agent-only,agent-only_none__padnad_-2,"Do you see Jenny ?
<s> Jenny [verb] me to the baby girl .",Jenny,me,the baby girl,pronoun,animate,definite,noun,animate,definite,-2,1,new,new
81,1,6,do,6,1,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Sarah ?
<s> Sarah [verb] the boy with blue pants me .",Sarah,me,the boy with blue pants,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
82,1,6,pp,6,1,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Sarah ?
<s> Sarah [verb] me to the boy with blue pants .",Sarah,me,the boy with blue pants,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
83,1,6,do,6,2,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Judy ?
<s> Judy [verb] the boy with round glasses me .",Judy,me,the boy with round glasses,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
84,1,6,pp,6,2,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Judy ?
<s> Judy [verb] me to the boy with round glasses .",Judy,me,the boy with round glasses,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
85,1,6,do,6,3,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see William ?
<s> William [verb] the dog with black spots us .",William,us,the dog with black spots,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
86,1,6,pp,6,3,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see William ?
<s> William [verb] us to the dog with black spots .",William,us,the dog with black spots,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
87,1,6,do,6,4,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Michael ?
<s> Michael [verb] the horse with a saddle us .",Michael,us,the horse with a saddle,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
88,1,6,pp,6,4,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Michael ?
<s> Michael [verb] us to the horse with a saddle .",Michael,us,the horse with a saddle,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
89,1,6,do,6,5,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Alex ?
<s> Alex [verb] the girl with long hair me .",Alex,me,the girl with long hair,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
90,1,6,pp,6,5,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Alex ?
<s> Alex [verb] me to the girl with long hair .",Alex,me,the girl with long hair,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
91,1,6,do,6,6,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Mark ?
<s> Mark [verb] the horse with a saddle me .",Mark,me,the horse with a saddle,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
92,1,6,pp,6,6,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Mark ?
<s> Mark [verb] me to the horse with a saddle .",Mark,me,the horse with a saddle,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
93,1,6,do,6,7,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Jenny ?
<s> Jenny [verb] the bear with an apple me .",Jenny,me,the bear with an apple,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
94,1,6,pp,6,7,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Jenny ?
<s> Jenny [verb] me to the bear with an apple .",Jenny,me,the bear with an apple,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
95,1,6,do,6,8,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Laura ?
<s> Laura [verb] the boy with red hair me .",Laura,me,the boy with red hair,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
96,1,6,pp,6,8,agent-only,agent-only,agent-only_none__padnad_-4,"Do you see Laura ?
<s> Laura [verb] me to the boy with red hair .",Laura,me,the boy with red hair,pronoun,animate,definite,noun,animate,definite,-4,1,new,new
97,1,7,do,7,1,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see William ?
<s> William [verb] the cat that's on the tree us .",William,us,the cat that's on the tree,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
98,1,7,pp,7,1,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see William ?
<s> William [verb] us to the cat that's on the tree .",William,us,the cat that's on the tree,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
99,1,7,do,7,2,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Mark ?
<s> Mark [verb] the boy who's on the bicycle us .",Mark,us,the boy who's on the bicycle,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
100,1,7,pp,7,2,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Mark ?
<s> Mark [verb] us to the boy who's on the bicycle .",Mark,us,the boy who's on the bicycle,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
101,1,7,do,7,3,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Sarah ?
<s> Sarah [verb] the dog who's on a leash me .",Sarah,me,the dog who's on a leash,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
102,1,7,pp,7,3,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Sarah ?
<s> Sarah [verb] me to the dog who's on a leash .",Sarah,me,the dog who's on a leash,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
103,1,7,do,7,4,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Laura ?
<s> Laura [verb] the cat that's on the tree me .",Laura,me,the cat that's on the tree,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
104,1,7,pp,7,4,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Laura ?
<s> Laura [verb] me to the cat that's on the tree .",Laura,me,the cat that's on the tree,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
105,1,7,do,7,5,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Michael ?
<s> Michael [verb] the dog who's on a leash us .",Michael,us,the dog who's on a leash,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
106,1,7,pp,7,5,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Michael ?
<s> Michael [verb] us to the dog who's on a leash .",Michael,us,the dog who's on a leash,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
107,1,7,do,7,6,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Alex ?
<s> Alex [verb] the bear who's on the chair me .",Alex,me,the bear who's on the chair,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
108,1,7,pp,7,6,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Alex ?
<s> Alex [verb] me to the bear who's on the chair .",Alex,me,the bear who's on the chair,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
109,1,7,do,7,7,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Jenny ?
<s> Jenny [verb] the dog with a red head me .",Jenny,me,the dog with a red head,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
110,1,7,pp,7,7,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Jenny ?
<s> Jenny [verb] me to the dog with a red head .",Jenny,me,the dog with a red head,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
111,1,7,do,7,8,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Judy ?
<s> Judy [verb] the dog with a red head us .",Judy,us,the dog with a red head,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
112,1,7,pp,7,8,agent-only,agent-only,agent-only_none__padnad_-5,"Do you see Judy ?
<s> Judy [verb] us to the dog with a red head .",Judy,us,the dog with a red head,pronoun,animate,definite,noun,animate,definite,-5,1,new,new
113,1,8,do,8,1,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Michael ?
<s> Michael [verb] the girl with leaves me .",Michael,me,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
114,1,8,pp,8,1,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Michael ?
<s> Michael [verb] me to the girl with leaves .",Michael,me,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
115,1,8,do,8,2,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Jenny ?
<s> Jenny [verb] the dog with ears us .",Jenny,us,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
116,1,8,pp,8,2,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Jenny ?
<s> Jenny [verb] us to the dog with ears .",Jenny,us,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
117,1,8,do,8,3,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Mark ?
<s> Mark [verb] the girl with leaves us .",Mark,us,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
118,1,8,pp,8,3,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Mark ?
<s> Mark [verb] us to the girl with leaves .",Mark,us,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
119,1,8,do,8,4,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Judy ?
<s> Judy [verb] the dog with ears me .",Judy,me,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
120,1,8,pp,8,4,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Judy ?
<s> Judy [verb] me to the dog with ears .",Judy,me,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
121,1,8,do,8,5,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Alex ?
<s> Alex [verb] the girl with leaves me .",Alex,me,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
122,1,8,pp,8,5,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Alex ?
<s> Alex [verb] me to the girl with leaves .",Alex,me,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
123,1,8,do,8,6,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Laura ?
<s> Laura [verb] the dog with ears us .",Laura,us,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
124,1,8,pp,8,6,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Laura ?
<s> Laura [verb] us to the dog with ears .",Laura,us,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
125,1,8,do,8,7,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Sarah ?
<s> Sarah [verb] the girl with leaves us .",Sarah,us,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
126,1,8,pp,8,7,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see Sarah ?
<s> Sarah [verb] us to the girl with leaves .",Sarah,us,the girl with leaves,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
127,1,8,do,8,8,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see William ?
<s> William [verb] the dog with ears me .",William,me,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
128,1,8,pp,8,8,agent-only,agent-only,agent-only_none__padnad_-3,"Do you see William ?
<s> William [verb] me to the dog with ears .",William,me,the dog with ears,pronoun,animate,definite,noun,animate,definite,-3,1,new,new
